,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL
113,Single Family,1957,Forced air,Central,2 spaces,None,"10,023 sqft",$287,"$359,000","225 Washington Rd, Glenview, IL 60025","1,251", No, 4, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 22.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/225-Washington-Rd-Glenview-IL-60025/3471897_zpid/
114,Townhouse,1997,"Forced air, Other",Central,2 spaces,$276/month,"1,602 sqft",$197,"$449,999","1748 Melise Dr, Glenview, IL 60025","2,290", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 2.6% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1748-Melise-Dr-Glenview-IL-60025/62005751_zpid/
115,Single Family,1992,"Forced air, Gas",Central,2 spaces,,0.31 Acres,$208,"$779,000","2130 Warwick Ln, Glenview, IL 60026","3,749", No, 6, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 31.6% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2130-Warwick-Ln-Glenview-IL-60026/3348703_zpid/
116,Single Family,2003,"Forced air, Gas",Central,5 spaces,,"7,731 sqft",$232,"$829,900","2223 Cottonwood Dr, Glenview, IL 60026","3,575", No, 7, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 40.3% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2223-Cottonwood-Dr-Glenview-IL-60026/2078648191_zpid/
117,Single Family,1948,Forced air,Central,2 spaces,,"6,799 sqft",$247,"$725,000","106 Lincoln St, Glenview, IL 60025","2,936", No, 5, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 56.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/106-Lincoln-St-Glenview-IL-60025/3472552_zpid/
118,Single Family,1961,Forced air,Central,2 spaces,,0.27 acres,$358,"$517,000","2026 Brandon Rd, Glenview, IL 60025","1,445", No, 4, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 11.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2026-Brandon-Rd-Glenview-IL-60025/3346378_zpid/
119,Condo,1967,"Baseboard, Gas",Central,2 spaces,$266/mo,,,"$179,900","1777 Dewes St APT G, Glenview, IL 60025",, No, 2, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 61.1% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1777-Dewes-St-APT-G-Glenview-IL-60025/3355546_zpid/
120,Single Family,2006,Forced air,Central,2 spaces,,"9,034 sqft",$290,"$925,000","2523 Bel Air Dr, Glenview, IL 60025","3,194", No, 6, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 100.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2523-Bel-Air-Dr-Glenview-IL-60025/3471334_zpid/
121,Single Family,2020,Forced air,Central,2 spaces,$274/month,No Data,$259,"$839,400","1065 Ironwood Ct, Glenview, IL 60025","3,236", Yes, 4, 4, 4,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 81.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1065-Ironwood-Ct-Glenview-IL-60025/245566769_zpid/
122,Single Family,1987,"Forced air, Gas",Central,2 spaces,,"10,280 sqft",$195,"$625,000","4315 Hammersmith Ln, Glenview, IL 60026","3,200", No, 5, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 5.6% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4315-Hammersmith-Ln-Glenview-IL-60026/3349503_zpid/
123,Single Family,1954,Gas,Central,2 spaces,,"9,888 sqft",$312,"$515,000","1203 Shermer Rd, Glenview, IL 60025","1,649", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 11.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1203-Shermer-Rd-Glenview-IL-60025/3353752_zpid/
124,Townhouse,2002,Forced air,Central,2 spaces,$323/month,No Data,No Data,"$495,000","2751 Langley Cir, Glenview, IL 60026",, No, 4, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 16.3% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2751-Langley-Cir-Glenview-IL-60026/2078771670_zpid/
125,Single Family,1956,Forced air,Central,2 spaces,None,0.29 acres,,"$789,973","1225 Pine Point, Glenview, IL 60025","3,436", No, 5, 4, 4,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 70.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1225-Pine-Point-Glenview-IL-60025/3355026_zpid/
126,Single Family,2001,Forced air,Central,2 spaces,$70/month,0.33 acres,$448,"$1,495,000","2732 Independence Ave, Glenview, IL 60026","3,334", No, 6, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 152.7% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2732-Independence-Ave-Glenview-IL-60026/60259848_zpid/
127,Single Family,1998,Forced air,Central,3 spaces,,0.32 acres,$307,"$1,549,000","1213 Maple Ln, Glenview, IL 60025","5,045", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 235.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1213-Maple-Ln-Glenview-IL-60025/3346478_zpid/
128,Townhouse,2020,Gas,Central,2 spaces,$999/month,No Data,$200,"$630,000","1842 Lehigh Ave #17, Glenview, IL 60026","3,150", Yes, 3, 4, 2, 2,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 6.5% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1842-Lehigh-Ave-17-Glenview-IL-60026/2078853773_zpid/
129,Townhouse,2020,Gas,Central,2 spaces,,No Data,$221,"$695,000","1842 Lehigh Ave #25, Glenview, IL 60026","3,150", Yes, 3, 4, 2, 2,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 17.5% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1842-Lehigh-Ave-25-Glenview-IL-60026/2078855207_zpid/
130,Townhouse,2020,Gas,Central,2 spaces,$999/month,No Data,$206,"$650,000","1842 Lehigh Ave #33, Glenview, IL 60026","3,150", Yes, 3, 4, 2, 2,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 9.8% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1842-Lehigh-Ave-33-Glenview-IL-60026/2078855267_zpid/
131,Single Family,2019,Forced air,Central,2 spaces,None,0.27 acres,$237,"$1,189,000","3216 Potter Rd, Glenview, IL 60026","5,010", Yes, 4, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 100.9% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/3216-Potter-Rd-Glenview-IL-60026/158094836_zpid/
132,Single Family,2005,Gas,Central,2 spaces,,"3,963 sqft",$199,"$749,900","1777 Aberdeen Dr, Glenview, IL 60025","3,773", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 62.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1777-Aberdeen-Dr-Glenview-IL-60025/80815725_zpid/
133,Single Family,1965,"Forced air, Gas",Central,2 spaces,,0.42 Acres,$354,"$495,000","910 Kings Ln, Glenview, IL 60025","1,400", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 7.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/910-Kings-Ln-Glenview-IL-60025/2093586650_zpid/
134,Single Family,2020,"Forced air, Gas",Central,2 spaces,,No Data,$259,"$759,400","1094 Ironwood Ct, Glenview, IL 60025","2,932", Yes, 3, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 64.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1094-Ironwood-Ct-Glenview-IL-60025/245566923_zpid/
135,Single Family,1958,"Forced air, Gas",Central,2 spaces,,"8,319 sqft",$293,"$369,000","2530 Linda Ct, Glenview, IL 60025","1,260", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 20.2% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2530-Linda-Ct-Glenview-IL-60025/3471978_zpid/
136,Single Family,1956,"Forced air, Gas",Central,2 spaces,,"10,380 sqft",$373,"$515,000","545 Briarhill Ln, Glenview, IL 60025","1,380", No, 4, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 11.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/545-Briarhill-Ln-Glenview-IL-60025/3471609_zpid/
137,Single Family,1962,Gas,Central,4 spaces,None,"5,941 sqft",$126,"$459,000","922 Leamington Ave, Glenview, IL 60025","3,648", No, 4, 5, 3, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 0.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/922-Leamington-Ave-Glenview-IL-60025/3370216_zpid/
138,Condo,1979,"Forced air, Electric",Central,1 space,$254/mo,,$154,"$159,000","4176 Cove Ln #2B, Glenview, IL 60025","1,030", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 65.6% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4176-Cove-Ln-2B-Glenview-IL-60025/2078982820_zpid/
139,Townhouse,2016,Forced air,Central,2 spaces,$334/month,No Data,$294,"$649,900","2105 Dauntless Dr, Glenview, IL 60026","2,213", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 9.8% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2105-Dauntless-Dr-Glenview-IL-60026/2097143154_zpid/
140,Single Family,2007,Forced air,Central,3 spaces,$37/month,0.44 acres,$262,"$1,499,000","805 Wagner Ct, Glenview, IL 60025","5,720", No, 5, 7, 5, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 224.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/805-Wagner-Ct-Glenview-IL-60025/87718753_zpid/
141,Condo,2000,Radiant,Central,2 spaces,$440/month,,$192,"$249,000","1800 Dewes St UNIT 304, Glenview, IL 60025","1,295", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 46.1% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1800-Dewes-St-UNIT-304-Glenview-IL-60025/60259897_zpid/
142,Single Family,1953,Forced air,Central,1 space,,"7,169 sqft",$235,"$399,000","711 Harms Rd, Glenview, IL 60025","1,700", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 13.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/711-Harms-Rd-Glenview-IL-60025/3369820_zpid/
143,Single Family,2017,Forced air,Central,2 spaces,,0.38 acres,$356,"$1,495,000","840 Becker Rd, Glenview, IL 60025","4,200", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 223.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/840-Becker-Rd-Glenview-IL-60025/125824807_zpid/
144,Single Family,2005,Gas,Central,2 spaces,,"7,230 sqft",$279,"$799,000","230 Washington St, Glenview, IL 60025","2,862", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 72.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/230-Washington-St-Glenview-IL-60025/3472223_zpid/
145,Single Family,2014,Forced air,Central,3 spaces,,0.49 acres,$212,"$1,699,000","800 Becker Rd, Glenview, IL 60025","8,022", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 267.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/800-Becker-Rd-Glenview-IL-60025/125825006_zpid/
146,Single Family,2007,"Forced air, Gas",Central,3 spaces,,0.37 Acres,$259,"$1,100,000","3402 Meadow Ln, Glenview, IL 60025","4,241", No, 6, 6, 6,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 138% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3402-Meadow-Ln-Glenview-IL-60025/3353009_zpid/
147,Single Family,2008,"Forced air, Gas",Central,2 spaces,,"6,725 sqft",$208,"$659,900","1731 Greenwood Rd, Glenview, IL 60026","3,169", No, 5, 5, 5,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 11.5% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1731-Greenwood-Rd-Glenview-IL-60026/101238886_zpid/
148,Single Family,1957,"Forced air, Gas",Central,3 spaces,,0.65 Acres,$184,"$679,000","1717 Elmdale Ave, Glenview, IL 60026","3,684", No, 4, 5, 5,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 14.7% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1717-Elmdale-Ave-Glenview-IL-60026/3348935_zpid/
149,Townhouse,2009,"Forced air, Gas",Central,2 spaces,,No Data,$313,"$625,000","2631 Commons Dr, Glenview, IL 60026","2,000", No, 3, 3, 3,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 5.6% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2631-Commons-Dr-Glenview-IL-60026/245564050_zpid/
150,Single Family,1994,Forced air,Central,3 spaces,None,0.83 acres,$279,"$1,450,000","735 Pleasant Ln, Glenview, IL 60025","5,200", No, 4, 6,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 213.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/735-Pleasant-Ln-Glenview-IL-60025/3346742_zpid/
151,Single Family,2001,Forced air,Central,3 spaces,$40/month,0.25 acres,$253,"$1,189,000","1588 Independence Ave, Glenview, IL 60026","4,700", No, 5, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 100.9% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1588-Independence-Ave-Glenview-IL-60026/60199360_zpid/
152,Townhouse,2016,Gas,Central,2 spaces,$284/month,No Data,$250,"$599,000","1975 Dauntless Dr, Glenview, IL 60026","2,400", No, 3, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 1.2% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1975-Dauntless-Dr-Glenview-IL-60026/2079331036_zpid/
153,Single Family,1969,"Forced air, Gas",Central,2 spaces,,0.28 Acres,$253,"$555,900","2528 Pebbleford Ln, Glenview, IL 60026","2,200", No, 4, 3, 3,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 6.1% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2528-Pebbleford-Ln-Glenview-IL-60026/3344914_zpid/
154,Single Family,2008,Forced air,Central,2 spaces,None,"6,969 sqft",$242,"$895,000","34 Lincoln St, Glenview, IL 60025","3,694", No, 4, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 93.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/34-Lincoln-St-Glenview-IL-60025/3472663_zpid/
155,Townhouse,2000,Forced air,Central,2 spaces,,"2,422 sqft",$256,"$545,000","1772 Camden Dr, Glenview, IL 60025","2,125", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 17.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1772-Camden-Dr-Glenview-IL-60025/58356087_zpid/
156,Townhouse,1970,Forced air,Central,1 space,$298/month,5.49 acres,$156,"$219,000","2156 Rugen Rd APT B, Glenview, IL 60026","1,400", No, 2, 2, 1, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 63% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2156-Rugen-Rd-APT-B-Glenview-IL-60026/3348633_zpid/
157,Condo,1975,Baseboard,No Data,2 spaces,$296/month,,$149,"$179,000","10381 Dearlove Rd APT 2G, Glenview, IL 60025","1,200", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 61.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/10381-Dearlove-Rd-APT-2G-Glenview-IL-60025/2079413558_zpid/
158,Single Family,2007,Forced air,Central,3 spaces,,0.64 Acres,$329,"$2,395,000","855 Woodland Dr, Glenview, IL 60025","7,280", No, 6, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 418.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/855-Woodland-Dr-Glenview-IL-60025/3513822_zpid/
159,Single Family,2010,Gas,Central,3 spaces,$60/month,0.42 acres,$400,"$2,250,000","1134 Wildwood Ln, Glenview, IL 60025","5,618", No, 6, 7, 6, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 386.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1134-Wildwood-Ln-Glenview-IL-60025/3346599_zpid/
160,Single Family,1924,Forced air,Central,2 spaces,None,"9,517 sqft",$324,"$575,000","1401 Meadow Ln, Glenview, IL 60025","1,773", No, 3, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 24.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1401-Meadow-Ln-Glenview-IL-60025/3347042_zpid/
161,Townhouse,2005,Forced air,Central,2 spaces,$630/month,No Data,$215,"$825,000","1800 Admiral Ct, Glenview, IL 60026","3,840", No, 3, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 39.4% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1800-Admiral-Ct-Glenview-IL-60026/2079542799_zpid/
162,Single Family,2007,"Forced air, Gas",Central,3 spaces,,0.97 Acres,$320,"$2,850,000","1420 Burr Oak Dr, Glenview, IL 60025","8,900", No, 6, 8, 6, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 516.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1420-Burr-Oak-Dr-Glenview-IL-60025/3347577_zpid/
163,Townhouse,1999,"Forced air, Gas",Central,2 spaces,,No Data,,"$409,000","1807 Monroe Ct, Glenview, IL 60025",, No, 3, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 11.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1807-Monroe-Ct-Glenview-IL-60025/2079598720_zpid/
164,Single Family,1986,"Forced air, Gas",Central,4 spaces,,0.26 Acres,$196,"$549,500","1030 Bette Ln, Glenview, IL 60025","2,800", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 18.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1030-Bette-Ln-Glenview-IL-60025/3350653_zpid/
165,Single Family,1942,Forced air,Central,2 spaces,None,0.31 acres,$129,"$549,000","419 Beech Dr, Glenview, IL 60025","4,260", No, 5, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 18.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/419-Beech-Dr-Glenview-IL-60025/3368941_zpid/
166,Single Family,2013,"Forced air, Gas",Central,2 spaces,,0.28 Acres,$231,"$1,499,000","1690 Ridgewood Ln W, Glenview, IL 60025","6,493", No, 5, 5, 5,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 224.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1690-Ridgewood-Ln-W-Glenview-IL-60025/3346792_zpid/
167,Single Family,1956,"Baseboard, Forced air",Central,2 spaces,,0.41 acres,$255,"$819,000","2316 Sumac Cir, Glenview, IL 60025","3,208", No, 4, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 77.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2316-Sumac-Cir-Glenview-IL-60025/3353766_zpid/
168,Single Family,1957,Other,Central,2 spaces,,0.44 acres,$187,"$699,000","1716 Kendale Dr, Glenview, IL 60025","3,732", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 51.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1716-Kendale-Dr-Glenview-IL-60025/3347883_zpid/
169,Single Family,1940,Gas,Central,2 spaces,None,0.36 acres,$288,"$950,000","1638 Hawthorne Ln, Glenview, IL 60025","3,299", No, 4, 4, 2, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 105.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1638-Hawthorne-Ln-Glenview-IL-60025/3346799_zpid/
