,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,HOA,Half bathrooms
114,Townhouse,2008,Forced air,"Central, Geothermal, Other",2 spaces,895 sqft,$194,"$389,000","1635 Church St, Evanston, IL 60201","2,010", No, 2, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 22% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1635-Church-St-Evanston-IL-60201/89957169_zpid/,$190/month, 1
115,Condo,1928,No Data,No Data,1 space,,$162,"$275,000","814 Dobson St #1W, Evanston, IL 60202","1,700", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/814-Dobson-St-1W-Evanston-IL-60202/2078403819_zpid/,$397/mo,
116,Condo,1975,"Forced air, Electric",Central,1 space,,$238,"$300,000","834 Forest Ave, Evanston, IL 60202","1,258", No, 2, 2, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 9.1% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/834-Forest-Ave-Evanston-IL-60202/3566877_zpid/,$514/mo, 1
117,Single Family,1894,Heat pump,"Central, Geothermal, Other",1 space,"5,124 sqft",$349,"$629,000","1421 Leonard Pl, Evanston, IL 60201","1,800", No, 3, 2, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 26.2% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1421-Leonard-Pl-Evanston-IL-60201/3517828_zpid/,None, 1
118,Townhouse,2006,Forced air,Central,1 space,"1,338 sqft",$251,"$340,000","1836 Darrow Ave, Evanston, IL 60201","1,354", No, 3, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 31.8% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1836-Darrow-Ave-Evanston-IL-60201/80853300_zpid/,None, 1
119,Condo,2005,"Forced air, Gas",Central,1 space,,$283,"$339,000","800 Elgin Rd APT 1517, Evanston, IL 60201","1,200", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 32% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/800-Elgin-Rd-APT-1517-Evanston-IL-60201/70455525_zpid/,$787/mo,
120,Condo,2004,Forced air,Central,1 space,,$223,"$199,900","800 Elgin Rd APT 1108, Evanston, IL 60201",896, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 59.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/800-Elgin-Rd-APT-1108-Evanston-IL-60201/70455445_zpid/,$597/month,
121,Condo,1916,"Forced air, Gas",Central,No Data,,$202,"$209,000","201 Ridge Ave #302, Evanston, IL 60202","1,034", No, 2, 2, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 36.7% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/201-Ridge-Ave-302-Evanston-IL-60202/70456083_zpid/,$317/mo, 1
122,Condo,1927,Forced air,Central,None,,No Data,"$110,000","120 Elmwood Ave #1, Evanston, IL 60202",, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will decrease 1.6% (↓) in the next year.This home is valued 66.7% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/120-Elmwood-Ave-1-Evanston-IL-60202/65549584_zpid/,$153/month,
123,Condo,1902,Gas,No Data,None,,$321,"$859,000","1205 Michigan Ave APT 3, Evanston, IL 60202","2,678", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 160.3% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1205-Michigan-Ave-APT-3-Evanston-IL-60202/3565587_zpid/,"$1,027/month",
124,Townhouse,2007,Forced air,Central,2 spaces,"3,249 sqft",$274,"$1,149,000","2127 Harrison St, Evanston, IL 60201","4,200", No, 5, 5, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 130.5% higher (↑) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2127-Harrison-St-Evanston-IL-60201/101226135_zpid/,$300/month, 1
125,Condo,1946,No Data,No Data,1 space,,No Data,"$85,000","1864 Sherman Ave APT 2NW, Evanston, IL 60201",, No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 82.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1864-Sherman-Ave-APT-2NW-Evanston-IL-60201/2143882029_zpid/,$942/month,
126,Condo,2004,Forced air,Central,1 space,,$282,"$219,900","800 Elgin Rd APT 1416, Evanston, IL 60201",780, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 55.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/800-Elgin-Rd-APT-1416-Evanston-IL-60201/70455508_zpid/,$518/month,
127,Townhouse,2020,Gas,Central,2 spaces,No Data,$250,"$599,000","1112 Pitner Ave, Evanston, IL 60202","2,400", Yes, 4, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West End will decrease 1.6% (↓) in the next year.This home is valued 81.5% higher (↑) than the median home in West End.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1112-Pitner-Ave-Evanston-IL-60202/2081038869_zpid/,, 1
128,Condo,1960,Baseboard,Wall,1 space,,$281,"$196,400","1414 Elmwood Ave APT 2D, Evanston, IL 60201",700, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 2.3% (↓) in the next year.This home is valued 60.6% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1414-Elmwood-Ave-APT-2D-Evanston-IL-60201/80832482_zpid/,$280/mo,
129,Condo,1918,Forced air,Central,On street,,$236,"$189,000","551 Elmwood Ave APT 3, Evanston, IL 60202",800, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 42.7% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/551-Elmwood-Ave-APT-3-Evanston-IL-60202/65398351_zpid/,$225/month,
130,Condo,2006,"Forced air, Gas",Central,1 space,,$255,"$299,999","1720 Oak Ave UNIT 504, Evanston, IL 60201","1,177", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 39.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1720-Oak-Ave-UNIT-504-Evanston-IL-60201/87721879_zpid/,$694/mo,
131,Condo,1956,Radiant,Wall,1 space,,,"$149,000","339 Custer Ave APT 1, Evanston, IL 60202",, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 54.8% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/339-Custer-Ave-APT-1-Evanston-IL-60202/3570114_zpid/,$346/mo,
132,Single Family,1929,Gas,Central,2 spaces,"6,525 sqft",$510,"$1,200,000","2449 Marcy Ave, Evanston, IL 60201","2,352", No, 4, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 140.7% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2449-Marcy-Ave-Evanston-IL-60201/3515647_zpid/,, 1
133,Condo,1928,Gas,No Data,No Data,,,"$231,000","2514 Prairie Ave APT 3B, Evanston, IL 60201",, No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will fall 2.3% (↓) in the next year.This home is valued 53.7% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2514-Prairie-Ave-APT-3B-Evanston-IL-60201/2078572401_zpid/,$531/mo,
134,Condo,1926,Other,Refrigeration,1 space,,$199,"$359,000","822 Judson Ave APT 5, Evanston, IL 60202","1,800", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 8.8% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/822-Judson-Ave-APT-5-Evanston-IL-60202/54531586_zpid/,$588/month,
135,Multi Family,1909,Forced air,No Data,2 spaces,,No Data,"$549,900","421 Sherman Ave, Evanston, IL 60202",, No, 5, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 66.6% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/421-Sherman-Ave-Evanston-IL-60202/2078589942_zpid/,,
136,Single Family,1907,Gas,No Data,3 spaces,"9,375 sqft",$277,"$1,750,000","1217 Forest Ave, Evanston, IL 60202","6,308", No, 6, 5, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 430.3% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1217-Forest-Ave-Evanston-IL-60202/3565557_zpid/,None, 1
137,Single Family,1955,Forced air,Central,3 spaces,0.26 acres,$369,"$529,000","9540 Drake Ave, Evanston, IL 60203","1,432", No, 3, 2, 2,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will fall 1.2% (↓) in the next year.This home is valued 32% higher (↑) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/9540-Drake-Ave-Evanston-IL-60203/3519986_zpid/,,
138,Condo,1965,Other,Refrigerator,1 space,,,"$134,900","230 Ridge Ave #2, Evanston, IL 60202",, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 59.1% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/230-Ridge-Ave-2-Evanston-IL-60202/3569799_zpid/,$354/mo,
139,Condo,1980,Forced air,Central,1 space,,$248,"$248,000","1501 Oak Ave APT 206, Evanston, IL 60201","1,000", No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 50.2% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1501-Oak-Ave-APT-206-Evanston-IL-60201/3564209_zpid/,$353/month,
140,Single Family,2004,No Data,Central,2 spaces,"3,150 sqft",,"$514,384","2410 Cowper Ave, Evanston, IL 60201","2,855", No, 4, 3,,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 3.2% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2410-Cowper-Ave-Evanston-IL-60201/3515506_zpid/,,
141,Condo,1963,Baseboard,Wall,1 space,,$233,"$269,900","1516 Hinman Ave APT 511, Evanston, IL 60201","1,157", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 45.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1516-Hinman-Ave-APT-511-Evanston-IL-60201/3564720_zpid/,$638/month,
142,Condo,1964,Baseboard,Wall,None,,$128,"$115,000","2123 Howard St APT 1H, Evanston, IL 60202",900, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Southwest will fall 1.6% (↓) in the next year.This home is valued 65.2% lower (↓) than the median home in Southwest.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/2123-Howard-St-APT-1H-Evanston-IL-60202/3542234_zpid/,$330/month,
143,Condo,1960,Gas,Central,1 space,,$182,"$199,900","737 Ridge Ave APT 3F, Evanston, IL 60202","1,100", No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 39.4% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/737-Ridge-Ave-APT-3F-Evanston-IL-60202/3566394_zpid/,$382/mo,
144,Condo,1924,No Data,No Data,1 space,,$189,"$175,000","1210 Central St APT 1N, Evanston, IL 60201",927, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 64.9% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1210-Central-St-APT-1N-Evanston-IL-60201/2078757302_zpid/,$383/month,
145,Single Family,1921,"Forced air, Gas",Central,2 spaces,"5,837 sqft",$353,"$640,000","2343 Ridgeway Ave, Evanston, IL 60201","1,812", No, 5, 3, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 28.4% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2343-Ridgeway-Ave-Evanston-IL-60201/3515786_zpid/,,
146,Multiple Occupancy,1903,Gas,No Data,4 spaces,,,"$750,000","1119 Washington St, Evanston, IL 60202",, No, 7, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 127.3% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1119-Washington-St-Evanston-IL-60202/2088577175_zpid/,,
147,Multiple Occupancy,1914,"Forced air, Gas",Central,No Data,,,"$750,000","2022 Colfax St, Evanston, IL 60201",, No, 6, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 50.5% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2022-Colfax-St-Evanston-IL-60201/2101032495_zpid/,,
148,Condo,1926,"Radiant, Gas",Wall,1 space,,,"$299,000","830 Michigan Ave APT E3, Evanston, IL 60202",, No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 9.4% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/830-Michigan-Ave-APT-E3-Evanston-IL-60202/3567053_zpid/,$415/mo,
149,Single Family,1915,"Forced air, Gas",Central,2 spaces,0.61 Acres,$567,"$3,500,000","147 Dempster St, Evanston, IL 60201","6,172", No, 5, 6, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 602.2% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/147-Dempster-St-Evanston-IL-60201/3564990_zpid/,, 2
150,Condo,2002,"Forced air, Gas",Central,1 space,,$243,"$339,000","1580 Sherman Ave APT 510, Evanston, IL 60201","1,394", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 32% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1580-Sherman-Ave-APT-510-Evanston-IL-60201/63691568_zpid/,$619/mo,
151,Condo,1920,No Data,Wall,1 space,,$200,"$299,900","1907 Lincoln St #2B, Evanston, IL 60201","1,500", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 39.8% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1907-Lincoln-St-2B-Evanston-IL-60201/3516979_zpid/,$676/month,
152,Single Family,1937,"Forced air, Gas",Central,3 spaces,"7,927 sqft",$252,"$925,000","2712 Broadway Ave, Evanston, IL 60201","3,664", No, 4, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 85.6% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2712-Broadway-Ave-Evanston-IL-60201/3376531_zpid/,, 1
153,Condo,1963,Baseboard,Other,1 space,,$186,"$205,000","2730 Central St APT 2B, Evanston, IL 60201","1,100", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 58.9% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2730-Central-St-APT-2B-Evanston-IL-60201/3515334_zpid/,$460/month,
154,Condo,2006,"Forced air, Gas",Central,1 space,,$269,"$212,900","900 Chicago Ave UNIT 612, Evanston, IL 60202",791, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 35.5% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/900-Chicago-Ave-UNIT-612-Evanston-IL-60202/2115537426_zpid/,$307/mo,
155,Multiple Occupancy,1924,"Forced air, Gas",Central,2 spaces,,$199,"$709,000","3140 Central St, Evanston, IL 60201","3,560", No, 7, 4, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 42.2% higher (↑) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/3140-Central-St-Evanston-IL-60201/2123053326_zpid/,,
156,Condo,2003,Forced air,Central,1 space,,$299,"$264,900","1720 Maple Ave APT 1260, Evanston, IL 60201",886, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 46.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1720-Maple-Ave-APT-1260-Evanston-IL-60201/65556262_zpid/,$378/month,
157,Condo,2005,Forced air,Central,2 spaces,,$312,"$589,000","1800 Ridge Ave UNIT 101, Evanston, IL 60201","1,885", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 18.2% higher (↑) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1800-Ridge-Ave-UNIT-101-Evanston-IL-60201/101357712_zpid/,$430/month,
158,Single Family,1897,Gas,Central,9 spaces,0.5 acres,$235,"$1,900,000","1128 Ridge Ave, Evanston, IL 60202","8,100", No, 8, 5, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 475.8% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1128-Ridge-Ave-Evanston-IL-60202/3565117_zpid/,, 1
159,Multi Family,1914,Forced air,No Data,4 spaces,,No Data,"$599,900","936 Sherman Ave, Evanston, IL 60202",, No, 6, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 81.8% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/936-Sherman-Ave-Evanston-IL-60202/2078837065_zpid/,,
160,Condo,1947,Gas,No Data,1 space,,,"$99,999","2715 Central St APT 3N, Evanston, IL 60201",, No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 79.9% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2715-Central-St-APT-3N-Evanston-IL-60201/2119434521_zpid/,$545/mo,
161,Single Family,1894,Forced air,Central,3 spaces,0.28 acres,$360,"$2,195,000","1741 Hinman Ave, Evanston, IL 60201","6,100", No, 6, 6, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 340.4% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1741-Hinman-Ave-Evanston-IL-60201/3564559_zpid/,None, 2
162,Single Family,1904,"Other, Gas",Central,4 spaces,0.29 Acres,$214,"$1,499,000","1308 Asbury Ave, Evanston, IL 60201","7,000", No, 7, 6, 6,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 200.7% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1308-Asbury-Ave-Evanston-IL-60201/3519390_zpid/,,
163,Condo,1920,Other,Wall,No Data,,,"$127,400","1221 Hull Ter APT 3D, Evanston, IL 60202",, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 61.4% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1221-Hull-Ter-APT-3D-Evanston-IL-60202/89956555_zpid/,$309/mo,
164,Condo,1949,"Baseboard, Gas",Wall,1 space,,$126,"$139,000","1585 Ridge Ave APT 201, Evanston, IL 60201","1,100", No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 72.1% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1585-Ridge-Ave-APT-201-Evanston-IL-60201/2125670239_zpid/,$485/mo,
165,Single Family,1895,No Data,No Data,6 spaces,"7,501 sqft",$219,"$535,000","1933 Wesley Ave, Evanston, IL 60201","2,442", No, 4, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 7.3% higher (↑) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1933-Wesley-Ave-Evanston-IL-60201/2088150858_zpid/,None, 1
166,Single Family,1957,"Forced air, Gas",Central,No Data,"4,007 sqft",$239,"$475,000","8950 E Prairie Rd, Evanston, IL 60203","1,985", No, 5, 3, 3,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will decrease 1.2% (↓) in the next year.This home is valued 18.5% higher (↑) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/8950-E-Prairie-Rd-Evanston-IL-60203/3521443_zpid/,,
167,Condo,2008,Forced air,Central,1 space,,$256,"$235,000","1228 Emerson St UNIT 501, Evanston, IL 60201",919, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 52.9% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1228-Emerson-St-UNIT-501-Evanston-IL-60201/99356093_zpid/,$299/month,
168,Single Family,1902,"Forced air, Gas",Central,4 spaces,"4,199 sqft",$278,"$695,000","812 Gaffield Pl, Evanston, IL 60201","2,500", No, 5, 5, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Noyes and Foster will decrease 2.3% (↓) in the next year.This home is valued 39.4% higher (↑) than the median home in Noyes and Foster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/812-Gaffield-Pl-Evanston-IL-60201/3563483_zpid/,, 2
169,Condo,1925,Gas,Central,No Data,,$195,"$260,000","937 Forest Ave #G, Evanston, IL 60202","1,335", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 21.2% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/937-Forest-Ave-G-Evanston-IL-60202/70455918_zpid/,$500/mo,
170,Condo,No Data,Baseboard,Wall,1 space,,No Data,"$199,000","728 1/2 Hinman Ave APT 2N, Evanston, IL 60202",, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 39.7% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/728-1-2-Hinman-Ave-APT-2N-Evanston-IL-60202/2098387705_zpid/,$217/month,
