,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA
303,Single Family,1975,"Forced air, Gas",Central,3 spaces,0.90 Acres,$238,"$1,250,000","4733 S Mile High Dr, Salt Lake City, UT 84124","5,262", No, 5, 3, 3,"Home values in 84124 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84124 will increase 3.3% (↑) in the next year.This home is valued 124.6% higher (↑) than the median home in 84124.The median Zestimate® for this neighborhood is $556,483.",https://www.zillow.com/homedetails/4733-S-Mile-High-Dr-Salt-Lake-City-UT-84124/12862085_zpid/,,
304,Single Family,1914,Other,None,2 spaces,"5,662 sqft",$179,"$370,000","74 E Louise Ave, South Salt Lake, UT 84115","2,066", No, 4, 2, 2,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84115 will increase 6.3% (↑) in the next year.This home is valued 14.1% higher (↑) than the median home in 84115.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/74-E-Louise-Ave-South-Salt-Lake-UT-84115/12787204_zpid/,,
305,Single Family,1951,"Forced air, Gas",None,4 spaces,"6,534 sqft",$152,"$285,000","4515 W 5460 S, Kearns, UT 84118","1,880", No, 5, 2, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Hoffman Heights will rise 5.2% (↑) in the next year.This home is valued 2.1% lower (↓) than the median home in Hoffman Heights.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/4515-W-5460-S-Kearns-UT-84118/12831475_zpid/,,
306,Townhouse,2011,"Forced air, Gas",No Data,No Data,871 sqft,$268,"$549,000","676 E Markea Ave S #4, Salt Lake City, UT 84102","2,052", No, 3, 4, 3,"Home values in 84102 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 28.4% higher (↑) than the median home in Central City.The median Zestimate® for this neighborhood is $427,693.",https://www.zillow.com/homedetails/676-E-Markea-Ave-S-4-Salt-Lake-City-UT-84102/2077621952_zpid/, 1,
307,Single Family,1999,"Forced air, Gas",Central,2 spaces,"7,405 sqft",$203,"$439,990","14376 S Honeyfield Dr, Draper, UT 84020","2,168", No, 3, 3, 2,,https://www.zillow.com/homedetails/14376-S-Honeyfield-Dr-Draper-UT-84020/52839263_zpid/, 1,
308,Multiple Occupancy,1907,Forced air,No Data,No Data,,$265,"$625,000","1534 S 1100 E, Salt Lake City, UT 84105","2,356", No, 4, 2, 2,"Home values in East Central have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in East Central will rise 4.1% (↑) in the next year.This home is valued 31.6% higher (↑) than the median home in East Central.The median Zestimate® for this neighborhood is $475,000.",https://www.zillow.com/homedetails/1534-S-1100-E-Salt-Lake-City-UT-84105/2077623029_zpid/,,
309,Single Family,2006,Forced air,Central,4 spaces,0.38 Acres,$181,"$1,199,999","11877 S Reeves Ln, Riverton, UT 84065","6,622", No, 4, 5, 4,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will increase 4.1% (↑) in the next year.This home is valued 178.8% higher (↑) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/11877-S-Reeves-Ln-Riverton-UT-84065/12901920_zpid/, 1,
310,Multiple Occupancy,2020,No Data,No Data,2 spaces,,$152,"$387,472","6308 W South Jordan Pkwy #827, South Jordan, UT 84009","2,549", Yes, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 9.7% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/6308-W-South-Jordan-Pkwy-827-South-Jordan-UT-84009/2077623195_zpid/, 1,
311,,,,,,,,"$544,995","Lot #0122, Canyon Point at Traverse Mountain - The Cascade Collection, Lehi, UT 84043",, Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 38.9% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-cascade-collection/2077786103_zpid/, 1,
312,Single Family,2020,No Data,No Data,2 spaces,No Data,$246,"$324,990","Buildable plan: DELANO, Spring House Village At Daybreak, South Jordan, UT 84009",, Yes, 2, 2, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 24.2% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/spring-house-village-at-daybreak/2078070156_zpid/,,
313,Single Family,2020,No Data,No Data,2 spaces,"2,613 sqft",$255,"$360,574","7159 W Iron Spring South Ln #145, West Jordan, UT 84081","1,416", Yes, 3, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will increase 5.1% (↑) in the next year.This home is valued 6.5% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/7159-W-Iron-Spring-South-Ln-145-West-Jordan-UT-84081/2077623469_zpid/, 1,
314,Single Family,1911,Other,Central,1 space,"4,791 sqft",$265,"$289,900","872 S 800 W, Salt Lake City, UT 84104","1,092", No, 3, 1, 1,"Home values in Glendale have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Glendale will increase 7.8% (↑) in the next year.This home is valued 5.3% higher (↑) than the median home in Glendale.The median Zestimate® for this neighborhood is $275,245.",https://www.zillow.com/homedetails/872-S-800-W-Salt-Lake-City-UT-84104/12738840_zpid/,,
315,Single Family,1924,No Data,No Data,4 spaces,"4,791 sqft",$221,"$359,900","408 E 1300 S, Salt Lake City, UT 84115","1,626", No, 4, 1, 1,"Home values in Liberty Wells have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Liberty Wells will rise 5.9% (↑) in the next year.This home is valued 5.8% lower (↓) than the median home in Liberty Wells.The median Zestimate® for this neighborhood is $382,242.",https://www.zillow.com/homedetails/408-E-1300-S-Salt-Lake-City-UT-84115/2077623751_zpid/,,
316,Single Family,1980,No Data,None,6 spaces,5.22 Acres,"$1,017","$1,785,000","7018 W Sky Haven Ln, Herriman, UT 84096","1,756", No, 3, 1, 1,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 307.6% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/7018-W-Sky-Haven-Ln-Herriman-UT-84096/248885434_zpid/,,
317,,,,,,,,"$564,990","14732 S Glacial Peak Dr, Draper, UT 84020",, Yes, 4, 4, 3,,https://www.zillow.com/community/edelweiss/2078072402_zpid/, 1,
318,Single Family,2020,No Data,No Data,2 spaces,No Data,$150,"$328,990","Buildable plan: Madison - DRL, Legacy at Day Ranch, Bluffdale, UT 84065",, Yes, 3, 3, 2,,https://www.zillow.com/community/legacy-at-day-ranch/2082133197_zpid/, 1,
319,Single Family,No Data,No Data,No Data,3 spaces,0.31 Acres,$149,"$900,000","6548 W Sunrise Ridge Ct #112, West Valley City, UT 84128","6,053", Yes, 5, 4, 3,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will increase 6.4% (↑) in the next year.This home is valued 178.8% higher (↑) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/6548-W-Sunrise-Ridge-Ct-112-West-Valley-City-UT-84128/2077625157_zpid/, 1,
320,Townhouse,1994,No Data,No Data,1 space,871 sqft,$211,"$264,000","221 E Crestone Ave #D, Salt Lake City, UT 84115","1,252", No, 4, 2, 1,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84115 will increase 6.3% (↑) in the next year.This home is valued 18.6% lower (↓) than the median home in 84115.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/221-E-Crestone-Ave-D-Salt-Lake-City-UT-84115/2077625162_zpid/, 1,
321,Single Family,2007,Other,Central,2 spaces,"3,920 sqft",$167,"$409,000","10879 S Topview Rd, South Jordan, UT 84009","2,450", No, 4, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 4.6% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/10879-S-Topview-Rd-South-Jordan-UT-84009/83830206_zpid/, 1,
322,Townhouse,2020,No Data,No Data,2 spaces,"1,742 sqft",$150,"$354,900","5258 W Dock St, South Jordan, UT 84009","2,362", Yes, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 17.2% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/5258-W-Dock-St-South-Jordan-UT-84009/2077627790_zpid/, 1,
323,Mobile / Manufactured,1997,No Data,No Data,No Data,,$56,"$55,000","112 W 8865 S, Sandy, UT 84070",980, No, 3, 2, 2,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will rise 5.3% (↑) in the next year.This home is valued 84.5% lower (↓) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/112-W-8865-S-Sandy-UT-84070/2077627845_zpid/,,
324,Single Family,2020,No Data,No Data,2 spaces,"3,049 sqft",$207,"$384,990","6058 S Whistle Stop Rd #274, South Jordan, UT 84009","1,861", Yes, 3, 3, 3,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 10.2% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/6058-S-Whistle-Stop-Rd-274-South-Jordan-UT-84009/2077629360_zpid/,,
325,Single Family,1911,Other,None,1 space,"5,227 sqft",$196,"$535,000","556 S 1200 E, Salt Lake City, UT 84102","2,724", No, 4, 2, 2,"Home values in East Central have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in East Central will rise 4.1% (↑) in the next year.This home is valued 12.6% higher (↑) than the median home in East Central.The median Zestimate® for this neighborhood is $475,000.",https://www.zillow.com/homedetails/556-S-1200-E-Salt-Lake-City-UT-84102/12755286_zpid/,,
326,,,,,,,,"$761,995","Lot #0152, Canyon Point at Traverse Mountain - The Summit Collection, Lehi, UT 84043",, Yes, 4, 5, 4,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 94.2% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-summit-collection/2082448617_zpid/, 1,
327,Single Family,2020,No Data,No Data,2 spaces,No Data,$244,"$334,990","Buildable plan: HILGARD, SpringHouse Village, South Jordan, UT 84009",, Yes, 2, 2, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 21.9% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/springhouse-village/2080855981_zpid/,,
328,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$169,"$338,990","4260 W Dixon North Way #6023, Lehi, UT 84043","2,000", Yes, 3, 4, 3,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 13.6% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/4260-W-Dixon-North-Way-6023-Lehi-UT-84043/2077629969_zpid/, 1,
329,Condo,1975,Other,None,1 space,,$205,"$180,000","3673 S 2200 W APT 20, West Valley, UT 84119",877, No, 2, 1, 1,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will increase 5.9% (↑) in the next year.This home is valued 38.7% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3673-S-2200-W-APT-20-West-Valley-UT-84119/12751418_zpid/,,$205/mo
330,Single Family,2020,No Data,No Data,3 spaces,No Data,$178,"$431,900","Buildable plan: Sundance, Primrose : Cottages, Saratoga Springs, UT 84045",, Yes, 4, 3, 2,"Home values in 84045 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84045 will increase 4.9% (↑) in the next year.This home is valued 9.5% higher (↑) than the median home in 84045.The median Zestimate® for this neighborhood is $394,532.",https://www.zillow.com/community/primrose-cottages/2078523036_zpid/, 1,
331,Single Family,2020,No Data,No Data,2 spaces,"3,049 sqft",$254,"$334,990","6182 W Whistle Stop Rd #284, South Jordan, UT 84009","1,321", Yes, 2, 2, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 21.9% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/6182-W-Whistle-Stop-Rd-284-South-Jordan-UT-84009/2077630942_zpid/,,
332,Townhouse,2017,No Data,No Data,2 spaces,"1,742 sqft",$142,"$395,000","12542 S 1300 W, Riverton, UT 84065","2,790", No, 4, 3, 3,,https://www.zillow.com/homedetails/12542-S-1300-W-Riverton-UT-84065/2092114465_zpid/,,
333,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$160,"$338,990","4256 W Dixon Way #6024, Lehi, UT 84043","2,121", Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 13.6% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/4256-W-Dixon-Way-6024-Lehi-UT-84043/2077631601_zpid/, 1,
334,Single Family,1962,Other,None,1 space,"7,840 sqft",$174,"$359,900","4450 S 4280 W, West Valley, UT 84120","2,072", No, 4, 2,,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84120 will increase 5.7% (↑) in the next year.This home is valued 17.6% higher (↑) than the median home in 84120.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/4450-S-4280-W-West-Valley-UT-84120/12815835_zpid/,,
335,Townhouse,2020,No Data,No Data,2 spaces,435 sqft,$274,"$465,000","1835 E Melbourne Ct, Salt Lake City, UT 84106","1,700", Yes, 2, 3, 2,"Home values in 84106 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84106 will rise 4.4% (↑) in the next year.This home is valued 11% higher (↑) than the median home in 84106.The median Zestimate® for this neighborhood is $418,741.",https://www.zillow.com/homedetails/1835-E-Melbourne-Ct-Salt-Lake-City-UT-84106/2077633012_zpid/, 1,
336,Townhouse,2020,No Data,No Data,2 spaces,435 sqft,$267,"$535,000","1838 E Melbourne Ct, Salt Lake City, UT 84106","2,003", Yes, 3, 4, 2,"Home values in 84106 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84106 will rise 4.4% (↑) in the next year.This home is valued 27.8% higher (↑) than the median home in 84106.The median Zestimate® for this neighborhood is $418,741.",https://www.zillow.com/homedetails/1838-E-Melbourne-Ct-Salt-Lake-City-UT-84106/2077634096_zpid/, 2,
337,Townhouse,2007,"Forced air, Gas",Central,4 spaces,"2,178 sqft",$204,"$420,000","1011 E Quarry View Way, Sandy, UT 84094","2,058", No, 4, 3, 2,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will rise 4.4% (↑) in the next year.This home is valued 14.3% higher (↑) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/1011-E-Quarry-View-Way-Sandy-UT-84094/72630639_zpid/, 1,
338,Condo,1978,No Data,No Data,1 space,,$272,"$185,000","4651 S Quail Vista Ln APT C, Salt Lake City, UT 84117",680, No, 1, 1, 1,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will increase 3.4% (↑) in the next year.This home is valued 61% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/4651-S-Quail-Vista-Ln-APT-C-Salt-Lake-City-UT-84117/2077634738_zpid/,,$170/mo
339,Single Family,2020,No Data,No Data,2 spaces,No Data,$228,"$478,990","Buildable plan: Fairwater, Cedar Canyon, Pleasant Grove, UT 84062",, Yes, 3, 3, 2,"Home values in 84062 have risen 6.0 % (↑) over the past 12 months.Zillow predicts the home values in 84062 will increase 6% (↑) in the next year.This home is valued 23.6% higher (↑) than the median home in 84062.The median Zestimate® for this neighborhood is $387,393.",https://www.zillow.com/community/cedar-canyon/2078530315_zpid/, 1,
340,Single Family,2020,No Data,No Data,2 spaces,No Data,$239,"$342,990","Buildable plan: Randem, Holbrook Farms - Carriage House, Lehi, UT 84043",, Yes, 2, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 12.6% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/holbrook-farms-carriage-house/2080495080_zpid/, 1,
341,Single Family,2020,No Data,No Data,2 spaces,No Data,$162,"$343,990","Buildable plan: Kensington - DRR, Regency at Day Ranch, Bluffdale, UT 84065",, Yes, 3, 3, 3,,https://www.zillow.com/community/regency-at-day-ranch/2082133200_zpid/,,
342,Single Family,2020,"Forced air, Gas",Central,2 spaces,No Data,$195,"$721,250","Buildable plan: Bernival, Giverny, Cottonwood Heights, UT 84093",, Yes, 3, 2, 2,"Home values in 84093 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84093 will rise 3.5% (↑) in the next year.This home is valued 43% higher (↑) than the median home in 84093.The median Zestimate® for this neighborhood is $504,212.",https://www.zillow.com/community/giverny/2085504398_zpid/,,
343,Townhouse,2020,"Forced air, Electric",Central,2 spaces,No Data,$246,"$429,900","Buildable plan: Cozumel with Roof Deck, Sky Terrace Collection, South Jordan, UT 84009",, Yes, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 0.2% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/sky-terrace-collection/2091462233_zpid/, 1,
344,,,,,,,,"$356,990","3872 W Pilton Ct, Salt Lake City, UT 84129",, Yes, 3, 3, 2,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will rise 5.7% (↑) in the next year.This home is valued 9.3% higher (↑) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/community/muirhouse/2078072394_zpid/, 1,
345,Single Family,1992,No Data,No Data,No Data,"6,534 sqft",$188,"$360,000","4715 W Odin Ln S, West Jordan, UT 84088","1,916", No, 4, 2, 2,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 5% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/4715-W-Odin-Ln-S-West-Jordan-UT-84088/2077637068_zpid/,,
346,Single Family,1992,"Forced air, Gas",Central,No Data,"6,534 sqft",$174,"$350,000","6117 S 4590 W, Salt Lake City, UT 84118","2,017", No, 5, 2, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Georgetown will rise 5.2% (↑) in the next year.This home is valued 20.2% higher (↑) than the median home in Georgetown.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/6117-S-4590-W-Salt-Lake-City-UT-84118/12832847_zpid/,,
347,Single Family,1974,Other,None,1 space,"8,276 sqft",$148,"$280,000","3615 S 6265 W, West Valley, UT 84128","1,888", No, 4, 2, 2,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in Higate will rise 6.4% (↑) in the next year.This home is valued 13.3% lower (↓) than the median home in Higate.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/3615-S-6265-W-West-Valley-UT-84128/12732523_zpid/,,
348,Single Family,1970,"Forced air, Gas",No Data,No Data,"10,018 sqft",$183,"$325,000","3519 W Valley Heights Dr S, Salt Lake City, UT 84129","1,776", No, 4, 2, 2,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will increase 5.7% (↑) in the next year.This home is valued 0.5% lower (↓) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/homedetails/3519-W-Valley-Heights-Dr-S-Salt-Lake-City-UT-84129/2077637065_zpid/,,
349,Single Family,2005,Other,Central,No Data,"8,276 sqft",$124,"$525,000","6684 S Liza Ln, West Jordan, UT 84081","4,222", No, 5, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will increase 5.1% (↑) in the next year.This home is valued 36.1% higher (↑) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6684-S-Liza-Ln-West-Jordan-UT-84081/69225302_zpid/, 1,
350,Condo,1997,No Data,No Data,No Data,,$206,"$219,900","3814 S Big River Way UNIT 3, West Valley City, UT 84119","1,070", No, 2, 2, 2,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 25.1% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3814-S-Big-River-Way-UNIT-3-West-Valley-City-UT-84119/2077637066_zpid/,,
351,Single Family,1994,"Forced air, Gas",Central,No Data,0.25 Acres,$189,"$359,900","3960 S Redhawk Rd, West Valley, UT 84119","1,900", No, 5, 3, 3,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 22.6% higher (↑) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3960-S-Redhawk-Rd-West-Valley-UT-84119/12751173_zpid/,,
352,Single Family,2007,Gas,No Data,No Data,0.34 Acres,$143,"$755,000","11317 S Temple Dr W, South Jordan, UT 84095","5,271", No, 8, 5, 4,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will rise 3.7% (↑) in the next year.This home is valued 45.1% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/11317-S-Temple-Dr-W-South-Jordan-UT-84095/2077637067_zpid/, 1,
353,Condo,2005,Other,Central,2 spaces,,$137,"$424,900","1657 W Peaceful Cir, South Jordan, UT 84095","3,100", No, 3, 3, 2,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will rise 3.7% (↑) in the next year.This home is valued 18.3% lower (↓) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/1657-W-Peaceful-Cir-South-Jordan-UT-84095/69717499_zpid/, 1,$215/mo
354,Townhouse,2020,No Data,No Data,2 spaces,No Data,$183,"$354,900","Buildable plan: Residence 2, Copperleaf : Townhomes, South Jordan, UT 84095",, Yes, 3, 3, 2,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 31.8% lower (↓) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/community/copperleaf-townhomes/2079148452_zpid/, 1,
355,,,,,,,,"$619,995","Lot #0088, Toll Brothers at Rosecrest - Reserve Collection, Herriman, UT 84096",, Yes, 3, 3, 3,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 41.6% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-reserve-collection/2081401283_zpid/,,
356,Condo,1904,No Data,No Data,1 space,,$423,"$310,000","346 Pierpont Ave #W109, Salt Lake City, UT 84101",732, No, 1, 1, 1,"Home values in Downtown Salt Lake City have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Downtown will decrease 0.3% (↓) in the next year.This home is valued 24.3% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $409,706.",https://www.zillow.com/homedetails/346-Pierpont-Ave-W109-Salt-Lake-City-UT-84101/2077638065_zpid/,,$131/mo
357,Single Family,1978,"Forced air, Other, Electric",Central,2 spaces,"8,276 sqft",$223,"$482,000","1667 E 9800 S, Sandy, UT 84092","2,162", No, 4, 3, 3,"Home values in 84092 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84092 will increase 4.4% (↑) in the next year.This home is valued 12.7% lower (↓) than the median home in 84092.The median Zestimate® for this neighborhood is $552,092.",https://www.zillow.com/homedetails/1667-E-9800-S-Sandy-UT-84092/12916347_zpid/,,
358,Single Family,2020,Gas,No Data,No Data,"10,454 sqft",$182,"$849,900","2431 E Lone Hill Dr S, Draper, UT 84020","4,677", No, 5, 4, 4,,https://www.zillow.com/homedetails/2431-E-Lone-Hill-Dr-S-Draper-UT-84020/2077639985_zpid/,,
359,Single Family,2004,"Forced air, Gas",Central,2 spaces,"5,227 sqft",$148,"$455,800","4088 W Poplar Grove Dr, South Jordan, UT 84009","3,075", No, 6, 4, 3,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 6.3% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/4088-W-Poplar-Grove-Dr-South-Jordan-UT-84009/65724308_zpid/, 1,
360,Single Family,2006,Forced air,Central,2 spaces,"5,662 sqft",$145,"$385,000","12416 S Mossberg Dr, Herriman, UT 84096","2,660", No, 5, 3,,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 12.1% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/12416-S-Mossberg-Dr-Herriman-UT-84096/72631904_zpid/,,
361,Condo,1979,"Forced air, Gas",Central,2 spaces,,$277,"$389,900","1078 E 6165 S, Salt Lake City, UT 84121","1,408", No, 2, 2, 2,"Home values in Murray have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84121 will increase 5.6% (↑) in the next year.This home is valued 3.8% higher (↑) than the median home in 84121.The median Zestimate® for this neighborhood is $375,448.",https://www.zillow.com/homedetails/1078-E-6165-S-Salt-Lake-City-UT-84121/12865859_zpid/,,$367/mo
362,Single Family,2020,No Data,No Data,2 spaces,No Data,$244,"$334,990","Buildable plan: HILGARD, Spring House Village At Daybreak, South Jordan, UT 84009",, Yes, 2, 2, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 21.9% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/spring-house-village-at-daybreak/2078070158_zpid/,,
