,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
193,Single Family,2016,"Forced air, Gas",Central,2 spaces,0.33 Acres,$247,"$634,900","2615 Garland Ct, Naperville, IL 60564","2,575", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will increase 0.7% (↑) in the next year.This home is valued 47.2% higher (↑) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2615-Garland-Ct-Naperville-IL-60564/175246614_zpid/,,For Sale
194,Single Family,1976,"Forced air, Gas",Central,2 spaces,0.28 Acres,$160,"$409,000","906 Tim Tam Cir, Naperville, IL 60540","2,564", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Hobson Village will increase 1.3% (↑) in the next year.This home is valued 1% lower (↓) than the median home in Hobson Village.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/906-Tim-Tam-Cir-Naperville-IL-60540/4539562_zpid/,,For Sale
195,Single Family,2020,Forced air,Central,3 spaces,No Data,$201,"$389,990","4047 Lobo Ln, Naperville, IL 60564","1,936", Yes, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 9.6% lower (↓) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4047-Lobo-Ln-Naperville-IL-60564/303803522_zpid/,$154/month,For Sale
196,Single Family,2002,Gas,Central,2 spaces,"7,405 sqft",$250,"$749,900","219 N Huffman St, Naperville, IL 60540","3,002", No, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 81.5% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/219-N-Huffman-St-Naperville-IL-60540/4536691_zpid/,,For Sale
197,Single Family,2007,"Forced air, Gas",Central,3 spaces,0.28 Acres,$133,"$599,900","3728 Ryder Ct, Naperville, IL 60564","4,502", No, 5, 4, 4,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tamarack will increase 0.7% (↑) in the next year.This home is valued 39.1% higher (↑) than the median home in Tamarack.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3728-Ryder-Ct-Naperville-IL-60564/72596271_zpid/,,For Sale
198,Single Family,No Data,Gas,Central,3 spaces,0.29 Acres,$327,"$1,157,800","2508 Pine Cone Ct E, Naperville, IL 60565","3,542", Yes, 4, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 192.1% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2508-Pine-Cone-Ct-E-Naperville-IL-60565/2078147105_zpid/,,For Sale
199,Townhouse,2004,"Forced air, Gas",Central,2 spaces,"5,227 sqft",$224,"$564,900","121 Kingsbridge Cir, Naperville, IL 60540","2,522", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 36.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/121-Kingsbridge-Cir-Naperville-IL-60540/55495659_zpid/,,For Sale
200,Single Family,2006,"Forced air, Gas",Central,3 spaces,"8,555 sqft",$232,"$1,250,000","416 S Wright St, Naperville, IL 60540","5,377", No, 4, 6, 5, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Highlands will increase 1.3% (↑) in the next year.This home is valued 202.5% higher (↑) than the median home in Naperville Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/416-S-Wright-St-Naperville-IL-60540/83913053_zpid/,,For Sale
201,Condo,2018,Gas,Central,2 spaces,,$212,"$364,900","4165 Lobo Ln, Naperville, IL 60564","1,718", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will rise 0.7% (↑) in the next year.This home is valued 15.4% lower (↓) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4165-Lobo-Ln-Naperville-IL-60564/303802880_zpid/,$250/month,For Sale
202,Single Family,1967,Forced air,Central,2 spaces,0.34 Acres,$193,"$469,000","6S345 New Castle Rd, Naperville, IL 60540","2,436", No, 5, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Century Hill will rise 1.3% (↑) in the next year.This home is valued 13.5% higher (↑) than the median home in Century Hill.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/6S345-New-Castle-Rd-Naperville-IL-60540/4535499_zpid/,,For Sale
203,Townhouse,1973,"Forced air, Gas",Central,1 space,"2,178 sqft",$115,"$227,000","25W037 Keswick Ln, Naperville, IL 60540","1,968", No, 3, 2, 1, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Huntington Commons will increase 1.3% (↑) in the next year.This home is valued 45.1% lower (↓) than the median home in Huntington Commons.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/25W037-Keswick-Ln-Naperville-IL-60540/4536041_zpid/,,For Sale
204,Single Family,1951,"Forced air, Gas",Central,1 space,"8,712 sqft",$258,"$730,000","325 S Columbia St, Naperville, IL 60540","2,826", No, 4, 5, 3, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Highlands will increase 1.3% (↑) in the next year.This home is valued 76.6% higher (↑) than the median home in Naperville Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/325-S-Columbia-St-Naperville-IL-60540/4537321_zpid/,,For Sale
205,Single Family,2004,Forced air,Central,3 spaces,0.34 acres,$171,"$499,999","5739 Rosinweed Ln, Naperville, IL 60564","2,932", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in South Pointe will rise 0.7% (↑) in the next year.This home is valued 15.9% higher (↑) than the median home in South Pointe.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/5739-Rosinweed-Ln-Naperville-IL-60564/63205493_zpid/,$20/month,For Sale
206,Single Family,1998,"Forced air, Gas",Central,3 spaces,No Data,$197,"$679,143","2416 Comstock Ct, Naperville, IL 60564","3,441", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Stillwater will rise 0.7% (↑) in the next year.This home is valued 57.5% higher (↑) than the median home in Stillwater.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2416-Comstock-Ct-Naperville-IL-60564/5367004_zpid/,,For Sale
207,Single Family,1995,Forced air,Central,3 spaces,0.3 acres,$151,"$659,900","3411 Scottsdale Cir, Naperville, IL 60564","4,381", No, 7, 5, 5,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will rise 0.7% (↑) in the next year.This home is valued 53% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3411-Scottsdale-Cir-Naperville-IL-60564/5368249_zpid/,$86/month,For Sale
208,Single Family,2014,Forced air,Central,2 spaces,"9,413 sqft",$219,"$1,199,000","209 W 8th Ave, Naperville, IL 60563","5,482", No, 4, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 273.1% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/209-W-8th-Ave-Naperville-IL-60563/4506152_zpid/,,For Sale
209,Single Family,2003,Forced air,Central,2 spaces,"8,058 sqft",$163,"$429,900","1414 E Braymore Cir, Naperville, IL 60564","2,640", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Eagle Pointe will rise 0.7% (↑) in the next year.This home is valued 0.3% lower (↓) than the median home in Eagle Pointe.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1414-E-Braymore-Cir-Naperville-IL-60564/4522006_zpid/,$245/month,For Sale
210,Condo,1980,Electric,Central,2 spaces,,$150,"$144,900","468 Valley Dr APT 200, Naperville, IL 60563",969, No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 54.9% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/468-Valley-Dr-APT-200-Naperville-IL-60563/4507161_zpid/,$278/mo,For Sale
211,Single Family,1958,Forced air,Central,Attached Garage,0.26 acres,$321,"$1,075,000","63 Oakwood Dr, Naperville, IL 60540","3,354", Yes, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will rise 1.3% (↑) in the next year.This home is valued 160.1% higher (↑) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/63-Oakwood-Dr-Naperville-IL-60540/4513399_zpid/,,For Sale
212,Single Family,2008,Forced air,Central,3 spaces,0.46 acres,$213,"$959,900","4603 Corktree Rd, Naperville, IL 60564","4,500", No, 5, 6, 5, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 122.6% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4603-Corktree-Rd-Naperville-IL-60564/72608604_zpid/,$66/month,For Sale
213,Single Family,1992,"Forced air, Gas",Central,3 spaces,0.69 Acres,$163,"$726,900","8S330 Whittington Ct, Naperville, IL 60540","4,462", No, 4, 5, 5,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 75.9% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/8S330-Whittington-Ct-Naperville-IL-60540/4546674_zpid/,,For Sale
214,Townhouse,1998,"Forced air, Gas",Central,2 spaces,24.53 Acres,$158,"$279,900","1470 Whitespire Ct, Naperville, IL 60565","1,768", No, 2, 3, 3,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 29.4% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1470-Whitespire-Ct-Naperville-IL-60565/4548495_zpid/,,For Sale
215,Single Family,2005,Forced air,Central,3 spaces,"9,583 sqft",$232,"$769,900","936 Douglas Ave, Naperville, IL 60540","3,312", No, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 86.3% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/936-Douglas-Ave-Naperville-IL-60540/4506436_zpid/,None,For Sale
216,Single Family,2020,"Forced air, Gas",Central,2 spaces,"10,545 sqft",$378,"$948,700","619 E 8th Ave, Naperville, IL 60563",, Yes, 4, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 195.2% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/619-E-8th-Ave-Naperville-IL-60563/4536565_zpid/,,For Sale
217,Single Family,1976,"Forced air, Gas",Central,2 spaces,0.27 Acres,$179,"$403,000","1740 Fender Rd, Naperville, IL 60565","2,250", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Signal Point will increase 1.2% (↑) in the next year.This home is valued 1.7% higher (↑) than the median home in Signal Point.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1740-Fender-Rd-Naperville-IL-60565/4553051_zpid/,,For Sale
218,Single Family,1996,Forced air,"Central, Refrigeration",3 spaces,"8,712 sqft",$183,"$499,000","123 Rieser Cir, Naperville, IL 60565","2,720", No, 4, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will rise 1.2% (↑) in the next year.This home is valued 25.9% higher (↑) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/123-Rieser-Cir-Naperville-IL-60565/4551672_zpid/,None,For Sale
219,Single Family,1976,"Forced air, Gas",Central,2 spaces,0.46 Acres,$213,"$339,900","28W761 Wagner Rd, Naperville, IL 60564","1,598", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Wheatland South will increase 0.7% (↑) in the next year.This home is valued 21.2% lower (↓) than the median home in Wheatland South.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/28W761-Wagner-Rd-Naperville-IL-60564/5370402_zpid/,,For Sale
220,Single Family,2009,Gas,Central,3 spaces,0.46 acres,$291,"$1,790,000","415 Hobson Rd, Naperville, IL 60540","6,145", No, 5, 7, 6, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 333.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/415-Hobson-Rd-Naperville-IL-60540/89132968_zpid/,,For Sale
221,Single Family,2003,"Forced air, Gas",Central,3 spaces,0.26 Acres,$239,"$950,000","644 N Wright St, Naperville, IL 60563","3,975", No, 6, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 195.6% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/644-N-Wright-St-Naperville-IL-60563/4536587_zpid/,,For Sale
222,Single Family,1977,"Forced air, Gas",Central,2 spaces,0.26 Acres,$203,"$569,900","515 E Bauer Rd, Naperville, IL 60563","2,814", No, 5, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Indian Hill will rise 0.9% (↑) in the next year.This home is valued 77.3% higher (↑) than the median home in Indian Hill.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/515-E-Bauer-Rd-Naperville-IL-60563/4526486_zpid/,,For Sale
223,Single Family,2004,"Forced air, Gas",Central,3 spaces,0.31 Acres,$176,"$512,000","5616 Bergamot Ct, Naperville, IL 60564","2,908", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in South Pointe will increase 0.7% (↑) in the next year.This home is valued 18.7% higher (↑) than the median home in South Pointe.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/5616-Bergamot-Ct-Naperville-IL-60564/61232245_zpid/,,For Sale
224,Townhouse,1996,No Data,No Data,2 spaces,24.53 acres,$179,"$360,000","1407 Whitespire Ct, Naperville, IL 60565","2,006", No, 3, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 9.2% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1407-Whitespire-Ct-Naperville-IL-60565/4548435_zpid/,$422/month,For Sale
225,Single Family,2000,Gas,Central,3 spaces,No Data,$162,"$423,000","29W341 Wagner Rd, Naperville, IL 60564","2,619", No, 5, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Wheatland South will increase 0.7% (↑) in the next year.This home is valued 1.9% lower (↓) than the median home in Wheatland South.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/29W341-Wagner-Rd-Naperville-IL-60564/5369634_zpid/,,For Sale
226,Single Family,2015,Forced air,Central,2 spaces,"8,929 sqft",$233,"$599,500","2967 Chevy Chase Ln, Naperville, IL 60564","2,572", No, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will increase 0.7% (↑) in the next year.This home is valued 39% higher (↑) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2967-Chevy-Chase-Ln-Naperville-IL-60564/82635010_zpid/,$252/month,For Sale
227,Single Family,2020,Forced air,Central,2 spaces,No Data,$185,"$447,990","3359 Empress Dr, Naperville, IL 60564","2,422", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 3.9% higher (↑) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3359-Empress-Dr-Naperville-IL-60564/303803347_zpid/,$154/month,For Sale
228,Condo,1985,"Forced air, Radiant, Gas",Central,2 spaces,,$245,"$206,900","511 Aurora Ave UNIT 413, Naperville, IL 60540",845, No, 1, 1, 1,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 49.9% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/511-Aurora-Ave-UNIT-413-Naperville-IL-60540/4512846_zpid/,$481/mo,For Sale
229,Condo,1986,"Forced air, Gas",Central,2 spaces,,$279,"$257,900","511 Aurora Ave UNIT 506, Naperville, IL 60540",925, No, 1, 1, 1,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 37.6% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/511-Aurora-Ave-UNIT-506-Naperville-IL-60540/4512859_zpid/,$592/mo,For Sale
230,Single Family,2005,Forced air,Central,4 spaces,0.48 acres,$243,"$1,436,510","3947 Littlestone Cir, Naperville, IL 60564","5,900", No, 5, 6, 5, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tamarack will increase 0.7% (↑) in the next year.This home is valued 233.1% higher (↑) than the median home in Tamarack.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3947-Littlestone-Cir-Naperville-IL-60564/55682912_zpid/,$75/month,For Sale
231,Townhouse,1996,Forced air,Central,2 spaces,No Data,$208,"$280,000","1863 Tamahawk Ln, Naperville, IL 60564","1,347", No, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 35.1% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1863-Tamahawk-Ln-Naperville-IL-60564/5366199_zpid/,$245/month,For Sale
232,Single Family,2016,Forced air,Central,3 spaces,"7,570 sqft",$240,"$1,249,900","515 N Eagle St, Naperville, IL 60563","5,198", No, 5, 6, 5, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 288.9% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/515-N-Eagle-St-Naperville-IL-60563/4506247_zpid/,None,For Sale
233,Single Family,1998,Forced air,Central,3 spaces,"10,018 sqft",$206,"$634,900","760 Sigmund Rd, Naperville, IL 60563","3,084", No, 5, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Century Farms will rise 0.9% (↑) in the next year.This home is valued 97.5% higher (↑) than the median home in Century Farms.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/760-Sigmund-Rd-Naperville-IL-60563/4504420_zpid/,$29/month,For Sale
234,Condo,1980,Baseboard,Central,2 spaces,,$131,"$138,000","1121 W Ogden Ave APT 358, Naperville, IL 60563","1,050", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will increase 0.9% (↑) in the next year.This home is valued 57.1% lower (↓) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1121-W-Ogden-Ave-APT-358-Naperville-IL-60563/4504183_zpid/,$453/mo,For Sale
235,Single Family,1989,"Forced air, Gas",Central,3 spaces,0.95 Acres,$164,"$689,900","24741 Royal Lytham Dr, Naperville, IL 60564","4,199", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tamarack will increase 0.7% (↑) in the next year.This home is valued 60% higher (↑) than the median home in Tamarack.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/24741-Royal-Lytham-Dr-Naperville-IL-60564/5373791_zpid/,,For Sale
236,Single Family,1987,Forced air,Central,2 spaces,"7,840 sqft",$298,"$374,000","2299 Woodview Ln, Naperville, IL 60565","1,255", No, 3, 1, 1,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will rise 1.2% (↑) in the next year.This home is valued 5.6% lower (↓) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2299-Woodview-Ln-Naperville-IL-60565/5395824_zpid/,None,For Sale
237,Townhouse,2003,Forced air,Central,2 spaces,"2,178 sqft",$222,"$574,900","221 Box Car Ave, Naperville, IL 60540","2,585", No, 3, 4, 2, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 39.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/221-Box-Car-Ave-Naperville-IL-60540/59825821_zpid/,$395/month,For Sale
238,Single Family,1977,"Forced air, Gas",Central,2 spaces,0.36 Acres,$185,"$500,000","1223 Iron Liege Ct, Naperville, IL 60540","2,710", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Hobson Village will increase 1.3% (↑) in the next year.This home is valued 21% higher (↑) than the median home in Hobson Village.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1223-Iron-Liege-Ct-Naperville-IL-60540/4539344_zpid/,,For Sale
239,Single Family,1867,No Data,Central,5 spaces,"6,000 sqft",$228,"$517,000","135 N Ellsworth St, Naperville, IL 60540","2,265", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will increase 1.3% (↑) in the next year.This home is valued 25.1% higher (↑) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/135-N-Ellsworth-St-Naperville-IL-60540/4536893_zpid/,,For Sale
240,Single Family,1992,"Forced air, Gas",Central,2 spaces,"10,454 sqft",$178,"$525,000","2112 Primrose Ln, Naperville, IL 60565","2,944", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 32.5% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2112-Primrose-Ln-Naperville-IL-60565/4553743_zpid/,,For Sale
241,Single Family,2019,Forced air,Central,3 spaces,No Data,$210,"$617,500","1336 Bayou Path Ct, Naperville, IL 60563","2,937", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will increase 0.9% (↑) in the next year.This home is valued 92.1% higher (↑) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1336-Bayou-Path-Ct-Naperville-IL-60563/2078357905_zpid/,$75/month,For Sale
242,Single Family,1987,"Forced air, Gas",Central,3 spaces,0.52 Acres,$161,"$724,900","500 Prairie Knoll Dr, Naperville, IL 60565","4,505", No, 5, 5, 3, 2,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Winding Creek Estates will rise 1.2% (↑) in the next year.This home is valued 82.9% higher (↑) than the median home in Winding Creek Estates.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/500-Prairie-Knoll-Dr-Naperville-IL-60565/4550609_zpid/,,For Sale
243,Single Family,1993,Forced air,Central,3 spaces,0.34 acres,$154,"$462,000","2131 Yellowstar Ln, Naperville, IL 60564","3,000", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in High Meadows will rise 0.7% (↑) in the next year.This home is valued 7.1% higher (↑) than the median home in High Meadows.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2131-Yellowstar-Ln-Naperville-IL-60564/5374736_zpid/,$18/month,For Sale
244,Condo,2020,Gas,Central,2 spaces,,$218,"$879,900","810 Leona Mae Ct, Naperville, IL 60563","4,040", Yes, 4, 4, 2, 2,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek Commons will increase 0.9% (↑) in the next year.This home is valued 173.8% higher (↑) than the median home in Cress Creek Commons.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/810-Leona-Mae-Ct-Naperville-IL-60563/2078383653_zpid/,$330/month,For Sale
245,Single Family,1985,"Other, Gas",Central,2 spaces,"10,454 sqft",$166,"$439,000","2404 Barkdoll Rd, Naperville, IL 60565","2,642", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Farmington will increase 1.2% (↑) in the next year.This home is valued 10.8% higher (↑) than the median home in Farmington.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2404-Barkdoll-Rd-Naperville-IL-60565/5395001_zpid/,,For Sale
246,Single Family,2013,"Forced air, Gas",Central,2 spaces,0.26 Acres,$200,"$479,900","2940 Chevy Chase Ln, Naperville, IL 60564","2,397", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will rise 0.7% (↑) in the next year.This home is valued 11.3% higher (↑) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2940-Chevy-Chase-Ln-Naperville-IL-60564/89586713_zpid/,,For Sale
247,Single Family,1916,"Baseboard, Radiant, Gas",Central,5 spaces,"6,904 sqft",$347,"$799,000","219 N Ellsworth St, Naperville, IL 60540","2,300", No, 4, 3, 3,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will rise 1.3% (↑) in the next year.This home is valued 93.3% higher (↑) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/219-N-Ellsworth-St-Naperville-IL-60540/83907346_zpid/,,For Sale
