,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,zip,median_nhv2,Parking_Binned,Bathrooms_adj,address_clean,lat-lng
1644,Condo,1998.0,Forced air,Central,2 spaces,No,295000.0,"1552 Treeline Ct, Naperville, IL 60565",2598.0, No,2.0,3.0,3.0,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 25.6% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1552-Treeline-Ct-Naperville-IL-60565/4548466_zpid/,0,60565,396329,Yes,0.0,"1552 Treeline Ct, Naperville, IL 60565","[41.742230687612, -88.11897101313431]"
1645,Single Family,1987.0,"Forced air, Gas",Central,2 spaces,Yes,389500.0,"2466 Wendover Dr, Naperville, IL 60565",2329.0, No,4.0,3.0,2.0,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will increase 1.2% (↑) in the next year.This home is valued 1.7% lower (↓) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2466-Wendover-Dr-Naperville-IL-60565/5396182_zpid/,1,60565,396329,Yes,1.0,"2466 Wendover Dr, Naperville, IL 60565",
1646,Single Family,1993.0,Forced air,Central,3 spaces,No,639900.0,"3555 Tralee Ct, Naperville, IL 60564",3647.0, No,4.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 48.4% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3555-Tralee-Ct-Naperville-IL-60564/4521802_zpid/,1,60564,431287,Yes,1.0,"3555 Tralee Ct, Naperville, IL 60564",
1647,Townhouse,2005.0,Gas,Central,2 spaces,Yes,360000.0,"2843 Bond Cir, Naperville, IL 60563",1948.0, No,2.0,2.0,2.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 12% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/2843-Bond-Cir-Naperville-IL-60563/72587624_zpid/,0,60563,321403,Yes,0.0,"2843 Bond Cir, Naperville, IL 60563","[41.782264079010744, -88.20166440338109]"
1648,Townhouse,1999.0,"Forced air, Gas",Central,2 spaces,Yes,284900.0,"744 Prescott Ct, Naperville, IL 60563",2070.0, No,2.0,3.0,2.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 11.4% lower (↓) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/744-Prescott-Ct-Naperville-IL-60563/50904965_zpid/,1,60563,321403,Yes,1.0,"744 Prescott Ct, Naperville, IL 60563","[41.78276052799352, -88.17333592410559]"
1649,Single Family,2015.0,"Forced air, Gas",Central,2 spaces,Yes,799999.0,"1322 N Eagle St, Naperville, IL 60563",3200.0, No,5.0,4.0,4.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Heights will increase 0.9% (↑) in the next year.This home is valued 148.9% higher (↑) than the median home in Naperville Heights.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1322-N-Eagle-St-Naperville-IL-60563/4505418_zpid/,0,60563,321403,Yes,0.0,"1322 N Eagle St, Naperville, IL 60563","[41.79115065306122, -88.15047757142857]"
1650,Single Family,1913.0,Gas,Central,2 spaces,Yes,685000.0,"608 E Chicago Ave, Naperville, IL 60540",2516.0, No,4.0,4.0,3.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 65.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/608-E-Chicago-Ave-Naperville-IL-60540/4537053_zpid/,1,60540,413252,Yes,1.0,"608 E Chicago Ave, Naperville, IL 60540",
1651,Single Family,2020.0,Gas,Central,2 spaces,No,527248.0,"3704 Gold Cup Ln, Naperville, IL 60564",2995.0, Yes,4.0,3.0,2.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 22.2% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3704-Gold-Cup-Ln-Naperville-IL-60564/2078672296_zpid/,1,60564,431287,Yes,1.0,"3704 Gold Cup Ln, Naperville, IL 60564",
1652,Single Family,2020.0,Gas,Central,2 spaces,No,452990.0,"3668 Gold Cup Ln, Naperville, IL 60564",2386.0, Yes,3.0,3.0,2.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 5% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3668-Gold-Cup-Ln-Naperville-IL-60564/2078672689_zpid/,1,60564,431287,Yes,1.0,"3668 Gold Cup Ln, Naperville, IL 60564",
1653,Single Family,1861.0,Other,Central,2 spaces,Yes,749900.0,"414 W Benton Ave, Naperville, IL 60540",2382.0, No,4.0,2.0,2.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 81.5% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/414-W-Benton-Ave-Naperville-IL-60540/4506819_zpid/,0,60540,413252,Yes,0.0,"414 W Benton Ave, Naperville, IL 60540","[41.775219, -88.15488571428571]"
1654,Single Family,2012.0,Forced air,Central,14 spaces,No,2289000.0,"7S409 Arbor Dr, Naperville, IL 60540",9732.0, No,5.0,8.0,5.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Green Acres will rise 1.3% (↑) in the next year.This home is valued 453.9% higher (↑) than the median home in Green Acres.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/7S409-Arbor-Dr-Naperville-IL-60540/4513007_zpid/,3,60540,413252,Yes,3.0,"7S409 Arbor Dr, Naperville, IL 60540",
1655,Single Family,1998.0,"Forced air, Gas",Central,3 spaces,Yes,749000.0,"1311 Kallien Ct, Naperville, IL 60540",4300.0, No,5.0,5.0,4.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 81.2% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1311-Kallien-Ct-Naperville-IL-60540/4536115_zpid/,1,60540,413252,Yes,1.0,"1311 Kallien Ct, Naperville, IL 60540","[41.7720578820531, -88.11700818265491]"
1656,Single Family,1983.0,"Forced air, Gas",Central,2 spaces,Yes,525000.0,"1209 Sunnybrook Dr, Naperville, IL 60540",2440.0, No,4.0,3.0,2.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Wil-O-Way Park will rise 1.3% (↑) in the next year.This home is valued 27% higher (↑) than the median home in Wil-O-Way Park.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1209-Sunnybrook-Dr-Naperville-IL-60540/4507732_zpid/,1,60540,413252,Yes,1.0,"1209 Sunnybrook Dr, Naperville, IL 60540","[41.7746887552477, -88.17324693623125]"
1657,Condo,1998.0,Forced air,Central,1 space,No,200000.0,"2808 Kentshire Ct, Naperville, IL 60564",1414.0, No,2.0,2.0,2.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Summerfield will rise 0.7% (↑) in the next year.This home is valued 53.6% lower (↓) than the median home in Summerfield.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2808-Kentshire-Ct-Naperville-IL-60564/4523884_zpid/,0,60564,431287,Yes,0.0,"2808 Kentshire Ct, Naperville, IL 60564","[41.72918985714286, -88.20260720408163]"
1658,Single Family,1989.0,Forced air,Central,3 spaces,No,925000.0,"4005 Winberie Ave, Naperville, IL 60564",6107.0, No,4.0,6.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 114.5% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4005-Winberie-Ave-Naperville-IL-60564/4522926_zpid/,2,60564,431287,Yes,2.0,"4005 Winberie Ave, Naperville, IL 60564",
1659,Single Family,2018.0,Forced air,Central,3 spaces,No,1300000.0,"204 Claremont Dr, Naperville, IL 60540",4074.0, No,4.0,5.0,3.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 214.6% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/204-Claremont-Dr-Naperville-IL-60540/2078739730_zpid/,2,60540,413252,Yes,2.0,"204 Claremont Dr, Naperville, IL 60540","[41.769930391894235, -88.16677718751083]"
1660,Single Family,2007.0,Forced air,Central,2 spaces,Yes,1199000.0,"624 Stevens St, Naperville, IL 60540",4536.0, No,6.0,6.0,5.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 190.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/624-Stevens-St-Naperville-IL-60540/4506571_zpid/,1,60540,413252,Yes,1.0,"624 Stevens St, Naperville, IL 60540","[41.77399478947368, -88.1587984736842]"
1661,Single Family,1978.0,"Forced air, Gas",Central,2 spaces,Yes,327500.0,"5S505 Gordon Ter, Naperville, IL 60563",2183.0, No,4.0,3.0,3.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Scots Plains will increase 0.9% (↑) in the next year.This home is valued 1.9% higher (↑) than the median home in Scots Plains.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S505-Gordon-Ter-Naperville-IL-60563/4502005_zpid/,0,60563,321403,Yes,0.0,"5S505 Gordon Ter, Naperville, IL 60563",
1662,Single Family,1968.0,Forced air,Central,2 spaces,Yes,420000.0,"1420 Swallow St, Naperville, IL 60565",2376.0, No,4.0,4.0,3.0,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Maplebrook will increase 1.2% (↑) in the next year.This home is valued 6% higher (↑) than the median home in Maplebrook.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1420-Swallow-St-Naperville-IL-60565/4550110_zpid/,1,60565,396329,Yes,1.0,"1420 Swallow St, Naperville, IL 60565","[41.74534574644043, -88.12929246535595]"
1663,Single Family,1995.0,"Forced air, Gas",Central,3 spaces,Yes,739000.0,"4376 Camelot Cir, Naperville, IL 60564",4375.0, No,5.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Run will rise 0.7% (↑) in the next year.This home is valued 71.3% higher (↑) than the median home in River Run.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4376-Camelot-Cir-Naperville-IL-60564/5372276_zpid/,1,60564,431287,Yes,1.0,"4376 Camelot Cir, Naperville, IL 60564",
1664,Single Family,1995.0,"Forced air, Gas",Central,4 spaces,Yes,690000.0,"24365 Woodhall Ct, Naperville, IL 60564",3421.0, No,5.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tamarack will rise 0.7% (↑) in the next year.This home is valued 60% higher (↑) than the median home in Tamarack.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/24365-Woodhall-Ct-Naperville-IL-60564/5373780_zpid/,1,60564,431287,Yes,1.0,"24365 Woodhall Ct, Naperville, IL 60564",
1665,Single Family,1957.0,"Baseboard, Electric, Gas",Central,2 spaces,Yes,289900.0,"25W150 Fairmeadow Ln, Naperville, IL 60563",1264.0, No,3.0,3.0,2.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 9.8% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/25W150-Fairmeadow-Ln-Naperville-IL-60563/4459129_zpid/,1,60563,321403,Yes,1.0,"25W150 Fairmeadow Ln, Naperville, IL 60563",
1666,Single Family,1988.0,Forced air,Central,2 spaces,Yes,874900.0,"1214 Olesen Dr, Naperville, IL 60540",4737.0, No,5.0,4.0,3.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 111.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1214-Olesen-Dr-Naperville-IL-60540/4547905_zpid/,1,60540,413252,Yes,1.0,"1214 Olesen Dr, Naperville, IL 60540","[41.75286441666667, -88.1248295]"
1667,Single Family,1973.0,Forced air,Central,2 spaces,Yes,399900.0,"1628 Verdin Ln, Naperville, IL 60565",2380.0, No,4.0,4.0,3.0,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Maplebrook will increase 1.2% (↑) in the next year.This home is valued 0.9% higher (↑) than the median home in Maplebrook.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1628-Verdin-Ln-Naperville-IL-60565/4550719_zpid/,1,60565,396329,Yes,1.0,"1628 Verdin Ln, Naperville, IL 60565","[41.74038144046889, -88.13683327415511]"
1668,Single Family,1983.0,Forced air,Central,2 spaces,No,299900.0,"1013 Oswego Rd, Naperville, IL 60540",1535.0, No,3.0,2.0,1.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 27.4% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1013-Oswego-Rd-Naperville-IL-60540/4512725_zpid/,1,60540,413252,Yes,1.0,"1013 Oswego Rd, Naperville, IL 60540","[41.76617258227848, -88.1648012278481]"
1669,Single Family,1979.0,"Forced air, Gas",Central,2 spaces,Yes,649000.0,"1632 Fox Bend Ct, Naperville, IL 60563",2415.0, No,3.0,4.0,3.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek Commons will rise 0.9% (↑) in the next year.This home is valued 101.9% higher (↑) than the median home in Cress Creek Commons.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1632-Fox-Bend-Ct-Naperville-IL-60563/4503648_zpid/,1,60563,321403,Yes,1.0,"1632 Fox Bend Ct, Naperville, IL 60563","[41.79748437773803, -88.17147905454432]"
1670,Single Family,1981.0,"Forced air, Gas",Central,2 spaces,Yes,311000.0,"1316 Oconto Ct, Naperville, IL 60564",2093.0, No,4.0,3.0,3.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Spring Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 27.9% lower (↓) than the median home in Spring Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1316-Oconto-Ct-Naperville-IL-60564/5366000_zpid/,0,60564,431287,Yes,0.0,"1316 Oconto Ct, Naperville, IL 60564",
1671,Single Family,2020.0,Gas,Central,3 spaces,No,799900.0,"4475 Sassafras Ln, Naperville, IL 60564",3500.0, Yes,4.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 85.5% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4475-Sassafras-Ln-Naperville-IL-60564/242073467_zpid/,1,60564,431287,Yes,1.0,"4475 Sassafras Ln, Naperville, IL 60564",
1672,Single Family,2020.0,Forced air,Central,3 spaces,No,720000.0,"4207 Chinaberry Ln, Naperville, IL 60564",3500.0, Yes,4.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 66.9% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4207-Chinaberry-Ln-Naperville-IL-60564/242073501_zpid/,1,60564,431287,Yes,1.0,"4207 Chinaberry Ln, Naperville, IL 60564",
1673,Single Family,2020.0,"Forced air, Gas",Central,3 spaces,Yes,879900.0,"4451 Sassafras Ln, Naperville, IL 60564",3850.0, Yes,5.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 104% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4451-Sassafras-Ln-Naperville-IL-60564/242073461_zpid/,1,60564,431287,Yes,1.0,"4451 Sassafras Ln, Naperville, IL 60564",
1674,Townhouse,1974.0,Gas,Central,1 space,No,210000.0,"30W380 Oakmont Dr, Naperville, IL 60563",1462.0, No,2.0,2.0,1.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will rise 0.9% (↑) in the next year.This home is valued 34.7% lower (↓) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/30W380-Oakmont-Dr-Naperville-IL-60563/4501581_zpid/,1,60563,321403,Yes,1.0,"30W380 Oakmont Dr, Naperville, IL 60563",
1675,Single Family,1953.0,Forced air,Central,4 spaces,Yes,474900.0,"5S536 Columbia St, Naperville, IL 60563",1650.0, No,3.0,2.0,2.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ogden Highlands will increase 0.9% (↑) in the next year.This home is valued 47.8% higher (↑) than the median home in Ogden Highlands.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S536-Columbia-St-Naperville-IL-60563/4527169_zpid/,0,60563,321403,Yes,0.0,"5S536 Columbia St, Naperville, IL 60563",
1676,Single Family,1959.0,Forced air,Central,2 spaces,Yes,825000.0,"730 E Hillside Rd, Naperville, IL 60540",2702.0, No,4.0,3.0,3.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 99.6% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/730-E-Hillside-Rd-Naperville-IL-60540/4537981_zpid/,0,60540,413252,Yes,0.0,"730 E Hillside Rd, Naperville, IL 60540","[41.76597734343434, -88.13625477777778]"
1677,Single Family,1975.0,Gas,Central,2 spaces,Yes,459900.0,"1118 Cheshire Ave, Naperville, IL 60540",2616.0, No,4.0,3.0,2.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Pembroke Greens will increase 1.3% (↑) in the next year.This home is valued 11.3% higher (↑) than the median home in Pembroke Greens.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1118-Cheshire-Ave-Naperville-IL-60540/4538695_zpid/,1,60540,413252,Yes,1.0,"1118 Cheshire Ave, Naperville, IL 60540","[41.76905633333333, -88.12793433333333]"
1678,Townhouse,2004.0,Gas,Central,2 spaces,Yes,524900.0,"1731 Elyse Ln, Naperville, IL 60565",2474.0, No,3.0,4.0,3.0,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 32.4% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1731-Elyse-Ln-Naperville-IL-60565/67411878_zpid/,1,60565,396329,Yes,1.0,"1731 Elyse Ln, Naperville, IL 60565","[41.73617130533734, -88.1184620629702]"
1679,Single Family,1974.0,Forced air,Central,3 spaces,Yes,860000.0,"1117 Briergate Dr, Naperville, IL 60563",3000.0, No,4.0,4.0,3.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will increase 0.9% (↑) in the next year.This home is valued 167.6% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1117-Briergate-Dr-Naperville-IL-60563/4503896_zpid/,1,60563,321403,Yes,1.0,"1117 Briergate Dr, Naperville, IL 60563",
1680,Single Family,1997.0,Forced air,Central,3 spaces,Yes,435000.0,"2039 Sudbury St, Naperville, IL 60564",2922.0, No,4.0,4.0,3.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Summerfield will increase 0.7% (↑) in the next year.This home is valued 0.9% higher (↑) than the median home in Summerfield.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2039-Sudbury-St-Naperville-IL-60564/4523418_zpid/,1,60564,431287,Yes,1.0,"2039 Sudbury St, Naperville, IL 60564","[41.728468342493336, -88.19762648605462]"
1681,Single Family,1996.0,Forced air,Central,3 spaces,No,499000.0,"5012 Prairie Sage Ln, Naperville, IL 60564",2600.0, No,5.0,3.0,3.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in High Meadows will increase 0.7% (↑) in the next year.This home is valued 15.7% higher (↑) than the median home in High Meadows.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/5012-Prairie-Sage-Ln-Naperville-IL-60564/5374652_zpid/,0,60564,431287,Yes,0.0,"5012 Prairie Sage Ln, Naperville, IL 60564",
1682,Single Family,1993.0,Gas,Central,Attached Garage,Yes,363166.0,"5S765 Timberlane Dr, Naperville, IL 60563",2112.0, No,4.0,2.0,0.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will rise 0.9% (↑) in the next year.This home is valued 13% higher (↑) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S765-Timberlane-Dr-Naperville-IL-60563/4501843_zpid/,0,60563,321403,Yes,2.0,"5S765 Timberlane Dr, Naperville, IL 60563",
1683,Single Family,1991.0,Forced air,Central,3 spaces,Yes,597000.0,"1740 Atwood Cir, Naperville, IL 60565",3228.0, No,4.0,3.0,2.0,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 50.6% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1740-Atwood-Cir-Naperville-IL-60565/4554556_zpid/,1,60565,396329,Yes,1.0,"1740 Atwood Cir, Naperville, IL 60565","[41.740615142857145, -88.09004857142857]"
1684,Single Family,2006.0,"Forced air, Gas",Central,3 spaces,Yes,1940000.0,"330 Douglas Ave, Naperville, IL 60540",9326.0, No,6.0,8.0,6.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 369.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/330-Douglas-Ave-Naperville-IL-60540/4506688_zpid/,2,60540,413252,Yes,2.0,"330 Douglas Ave, Naperville, IL 60540","[41.777192367346935, -88.15384830612246]"
1685,Single Family,1938.0,Forced air,Central,3 spaces,Yes,1185000.0,"209 N West St, Naperville, IL 60540",3300.0, Yes,4.0,5.0,5.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 186.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/209-N-West-St-Naperville-IL-60540/4506077_zpid/,0,60540,413252,Yes,0.0,"209 N West St, Naperville, IL 60540","[41.764759, -88.158198]"
1686,Single Family,2000.0,Forced air,Central,4 spaces,No,829900.0,"2648 Charlestowne Ln, Naperville, IL 60564",4416.0, No,4.0,4.0,3.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Stillwater will rise 0.7% (↑) in the next year.This home is valued 92.4% higher (↑) than the median home in Stillwater.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2648-Charlestowne-Ln-Naperville-IL-60564/51400312_zpid/,1,60564,431287,Yes,1.0,"2648 Charlestowne Ln, Naperville, IL 60564",
1687,Single Family,2000.0,Forced air,Central,3 spaces,No,685000.0,"3016 Goldenglow Ct, Naperville, IL 60564",6368.0, No,7.0,5.0,4.0,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tall Grass will increase 0.7% (↑) in the next year.This home is valued 58.8% higher (↑) than the median home in Tall Grass.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3016-Goldenglow-Ct-Naperville-IL-60564/51400939_zpid/,1,60564,431287,Yes,1.0,"3016 Goldenglow Ct, Naperville, IL 60564",
1688,Townhouse,2002.0,Forced air,Central,2 spaces,No,329900.0,"836 Shandrew Dr, Naperville, IL 60540",1842.0, No,2.0,3.0,2.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 20.2% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/836-Shandrew-Dr-Naperville-IL-60540/61453483_zpid/,1,60540,413252,Yes,1.0,"836 Shandrew Dr, Naperville, IL 60540","[41.75531042798324, -88.19930672097135]"
1689,Single Family,1918.0,Gas,None,Detached Garage,Yes,405824.0,"26 N Sleight St, Naperville, IL 60540",1842.0, No,3.0,2.0,1.0,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will increase 1.3% (↑) in the next year.This home is valued 1.8% lower (↓) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/26-N-Sleight-St-Naperville-IL-60540/4536941_zpid/,1,60540,413252,Yes,1.0,"26 N Sleight St, Naperville, IL 60540","[41.775206749999995, -88.14076225]"
1690,Single Family,1974.0,Forced air,Central,2 spaces,Yes,605000.0,"808 Heatherton Dr, Naperville, IL 60563",2432.0, No,4.0,3.0,2.0,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 88.2% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/808-Heatherton-Dr-Naperville-IL-60563/4503825_zpid/,1,60563,321403,Yes,1.0,"808 Heatherton Dr, Naperville, IL 60563","[41.7840799414264, -88.17502560710611]"
