,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
427,Condo,1920,"Forced air, Gas",Central,No Data,$279,"$265,000","3301 N Ridgeway Ave #2S, Chicago, IL 60618", No, 2, 2, 2,"Home values in Avondale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Avondale will increase 0% () in the next year.This home is valued 32.9% lower () than the median home in Avondale.The median Zestimate for this neighborhood is $394,918.",https://www.zillow.com/homedetails/3301-N-Ridgeway-Ave-2S-Chicago-IL-60618/70458670_zpid/,,950,$223/mo,,For Sale
428,Single Family,2005,Gas,Central,2 spaces,$192,"$450,000","5202 W Strong St, Chicago, IL 60630", No, 4, 3, 3,"Home values in Jefferson Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% () in the next year.This home is valued 48.4% higher () than the median home in Jefferson Park.The median Zestimate for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5202-W-Strong-St-Chicago-IL-60630/65557634_zpid/,"3,179 sqft","2,342",,,For Sale
429,Single Family,1922,Forced air,Central,6 spaces,$165,"$415,000","4226 N Melvina Ave, Chicago, IL 60634", No, 4, 3, 3,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will fall 2% () in the next year.This home is valued 43.2% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/4226-N-Melvina-Ave-Chicago-IL-60634/3652127_zpid/,"9,448 sqft","2,521",None,,For Sale
430,Single Family,1885,Forced air,Central,No Data,$33,"$50,000","10221 S Emerald Ave, Chicago, IL 60628", No, 3, 2, 1,"Home values in Fernwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fernwood will rise 0.8% () in the next year.This home is valued 45.6% lower () than the median home in Fernwood.The median Zestimate for this neighborhood is $91,990.",https://www.zillow.com/homedetails/10221-S-Emerald-Ave-Chicago-IL-60628/4131866_zpid/,"6,229 sqft","1,500",, 1,For Sale
431,Single Family,1890,No Data,No Data,None,$34,"$39,900","8521 S May St, Chicago, IL 60620", No, 4, 2, 2,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% () in the next year.This home is valued 68.4% lower () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8521-S-May-St-Chicago-IL-60620/4016303_zpid/,"3,750 sqft","1,177",None,,For Sale
432,Condo,2008,"Forced air, Gas",Central,1 space,$348,"$629,000","520 S State St APT 1209, Chicago, IL 60605", No, 3, 2, 2,"Home values in Printers Row have risen 0.6% () over the past 12 months.Zillow predicts the home values in Printers Row will rise 0.5% () in the next year.This home is valued 134.7% higher () than the median home in Printers Row.The median Zestimate for this neighborhood is $267,990.",https://www.zillow.com/homedetails/520-S-State-St-APT-1209-Chicago-IL-60605/101396125_zpid/,,"1,805",$748/mo,,For Sale
433,Condo,No Data,Forced air,Central,None,$168,"$167,900","3849 W Ainslie St #2, Chicago, IL 60625", No, 2, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 46.6% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/3849-W-Ainslie-St-2-Chicago-IL-60625/2078631264_zpid/,,"1,000",$155/month,,For Sale
434,Condo,1968,"Other, Gas",Central,1 space,$239,"$299,000","1700 E 56th St APT 1608, Chicago, IL 60637", No, 2, 2, 2,"Home values in East Hyde Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Hyde Park will fall 2.1% () in the next year.This home is valued 25.8% higher () than the median home in East Hyde Park.The median Zestimate for this neighborhood is $237,756.",https://www.zillow.com/homedetails/1700-E-56th-St-APT-1608-Chicago-IL-60637/3988940_zpid/,,"1,250","$1,048/mo",,For Sale
435,Single Family,1951,"Forced air, Gas",Central,2 spaces,$231,"$350,000","3819 N Neva Ave, Chicago, IL 60634", No, 5, 2, 2,"Home values in Dunning have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dunning will decrease 0.3% () in the next year.This home is valued 32.2% higher () than the median home in Dunning.The median Zestimate for this neighborhood is $264,849.",https://www.zillow.com/homedetails/3819-N-Neva-Ave-Chicago-IL-60634/3655584_zpid/,"4,225 sqft","1,516",,,For Sale
436,Multiple Occupancy,1905,Gas,No Data,2 spaces,,"$430,000","3043 W 38th Pl, Chicago, IL 60632", No, 9, 5, 5,"Home values in Brighton Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Brighton Park will increase 5.7% () in the next year.This home is valued 122.7% higher () than the median home in Brighton Park.The median Zestimate for this neighborhood is $193,113.",https://www.zillow.com/homedetails/3043-W-38th-Pl-Chicago-IL-60632/2077655422_zpid/,,,,,For Sale
437,Multiple Occupancy,1941,"Forced air, Gas",No Data,2 spaces,,"$196,900","9514 S La Salle St, Chicago, IL 60628", No, 6, 2, 2,"Home values in Longwood Manor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Longwood Manor will fall 4.4% () in the next year.This home is valued 44.1% higher () than the median home in Longwood Manor.The median Zestimate for this neighborhood is $136,662.",https://www.zillow.com/homedetails/9514-S-La-Salle-St-Chicago-IL-60628/2136998751_zpid/,,,,,For Sale
438,Condo,1900,"Forced air, Gas",Central,No Data,$227,"$169,900","827 W Lawrence Ave APT 2S, Chicago, IL 60640", No, 1, 1, 1,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 44% lower () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/827-W-Lawrence-Ave-APT-2S-Chicago-IL-60640/62002698_zpid/,,750,$215/mo,,For Sale
439,Single Family,1961,"Forced air, Gas",Central,No Data,$230,"$235,000","5129 S Homan Ave, Chicago, IL 60632", No, 5, 2, 2,"Home values in Gage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gage Park will rise 4.9% () in the next year.This home is valued 44.2% higher () than the median home in Gage Park.The median Zestimate for this neighborhood is $163,019.",https://www.zillow.com/homedetails/5129-S-Homan-Ave-Chicago-IL-60632/3928656_zpid/,"3,149 sqft","1,020",,,For Sale
440,Single Family,1966,Gas,Central,2 spaces,$20,"$199,000","8919 S Halsted St, Chicago, IL 60620", No, 4, 2, 2,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will fall 3.6% () in the next year.This home is valued 57.8% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8919-S-Halsted-St-Chicago-IL-60620/4118449_zpid/,"2,744 sqft","9,999",None,,For Sale
441,Condo,2008,Gas,Central,1 space,$366,"$275,000","1400 S Michigan Ave APT 1607, Chicago, IL 60605", No, 1, 1, 1,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 27% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-1607-Chicago-IL-60605/2090431189_zpid/,,751,$403/mo,,For Sale
442,Single Family,1920,"Forced air, Gas",Central,2 spaces,$178,"$209,900","738 E 88th Pl, Chicago, IL 60619", No, 4, 3, 3,"Home values in Burnside have risen 0.6% () over the past 12 months.Zillow predicts the home values in Burnside will increase 2.4% () in the next year.This home is valued 69.5% higher () than the median home in Burnside.The median Zestimate for this neighborhood is $123,820.",https://www.zillow.com/homedetails/738-E-88th-Pl-Chicago-IL-60619/4116097_zpid/,"4,617 sqft","1,176",,,For Sale
443,Single Family,1879,Forced air,No Data,1 space,$131,"$170,000","7118 S Sangamon St, Chicago, IL 60621", No, 5, 2, 2,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will rise 9% () in the next year.This home is valued 248.8% higher () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/7118-S-Sangamon-St-Chicago-IL-60621/4008259_zpid/,"3,125 sqft","1,300",None,,For Sale
444,Single Family,1922,Forced air,Central,2 spaces,$189,"$599,000","5123 N Kostner Ave, Chicago, IL 60630", No, 6, 3, 3,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 90.3% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/5123-N-Kostner-Ave-Chicago-IL-60630/3639146_zpid/,"3,811 sqft","3,163",None,,For Sale
445,Condo,1963,Forced air,Central,1 space,$206,"$339,900","3150 N Lake Shore Dr APT 17D, Chicago, IL 60657", No, 2, 2, 2,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% () in the next year.This home is valued 7.7% higher () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3150-N-Lake-Shore-Dr-APT-17D-Chicago-IL-60657/3721819_zpid/,,"1,650","$1,040/mo",,For Sale
446,Condo,1919,"Forced air, Gas",Central,1 space,$319,"$424,900","360 W Illinois St APT 107, Chicago, IL 60654", No, 2, 2, 2,"Home values in River North have risen 0.6% () over the past 12 months.Zillow predicts the home values in River North will fall 0.3% () in the next year.This home is valued 0% lower () than the median home in River North.The median Zestimate for this neighborhood is $425,048.",https://www.zillow.com/homedetails/360-W-Illinois-St-APT-107-Chicago-IL-60654/60268358_zpid/,,"1,334",$622/mo,,For Sale
447,Single Family,1944,Forced air,Central,2 spaces,$147,"$249,900","7932 S Perry Ave, Chicago, IL 60620", No, 4, 2, 2,"Home values in 60620 have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Chatham will fall 1.9% () in the next year.This home is valued 92.1% higher () than the median home in West Chatham.The median Zestimate for this neighborhood is $130,070.",https://www.zillow.com/homedetails/7932-S-Perry-Ave-Chicago-IL-60620/4016949_zpid/,"3,702 sqft","1,700",None,,For Sale
448,Multiple Occupancy,1880,"Forced air, Gas",No Data,2 spaces,,"$775,000","2453 W Diversey Ave, Chicago, IL 60647", No, 7, 3, 3,"Home values in Avondale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Avondale will increase 0% () in the next year.This home is valued 96.2% higher () than the median home in Avondale.The median Zestimate for this neighborhood is $394,918.",https://www.zillow.com/homedetails/2453-W-Diversey-Ave-Chicago-IL-60647/2090380911_zpid/,,,,,For Sale
449,Multi Family,1898,Gas,No Data,2 spaces,No Data,"$54,900","8316 S Muskegon Ave, Chicago, IL 60617", No, 6, 2, 2,"Home values in South Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Chicago will fall 5.1% () in the next year.This home is valued 43.3% lower () than the median home in South Chicago.The median Zestimate for this neighborhood is $96,782.",https://www.zillow.com/homedetails/8316-S-Muskegon-Ave-Chicago-IL-60617/2077657443_zpid/,,,,,For Sale
450,Condo,No Data,Forced air,Central,42 spaces,$650,"$1,085,000","1400 W Monroe St #5F, Chicago, IL 60607", Yes, 3, 3, 2,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% () in the next year.This home is valued 157.9% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1400-W-Monroe-St-5F-Chicago-IL-60607/2077657530_zpid/,,"1,669",$468/month, 1,For Sale
451,Condo,1911,Forced air,Central,4 spaces,$843,"$4,300,000","14 N Peoria St #6H-7H, Chicago, IL 60607", No, 4, 4, 4,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% () in the next year.This home is valued 922% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/14-N-Peoria-St-6H-7H-Chicago-IL-60607/2077657719_zpid/,,"5,100","$1,197/month",,For Sale
452,Multiple Occupancy,1910,Gas,No Data,2 spaces,,"$279,000","5731 S Sangamon St, Chicago, IL 60621", No, 6, 2, 2,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will rise 9% () in the next year.This home is valued 472.4% higher () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/5731-S-Sangamon-St-Chicago-IL-60621/2077657773_zpid/,,,,,For Sale
453,Condo,1922,Gas,Central,1 space,No Data,"$155,000","4950 N Kimball Ave APT 2W, Chicago, IL 60625", No, 1, 1, 1,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 50.7% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4950-N-Kimball-Ave-APT-2W-Chicago-IL-60625/80855160_zpid/,,,$184/month,,For Sale
454,Condo,2002,Forced air,Central,1 space,$390,"$435,000","2031 W Crystal St #2, Chicago, IL 60622", No, 2, 2, 2,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 25.7% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/2031-W-Crystal-St-2-Chicago-IL-60622/65548325_zpid/,,"1,115",$136/month,,For Sale
455,Condo,2020,Forced air,Central,1 space,$356,"$819,900","1157 W Erie St #3W, Chicago, IL 60642", Yes, 4, 3, 2,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will increase 1.7% () in the next year.This home is valued 61.6% higher () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1157-W-Erie-St-3W-Chicago-IL-60642/2080137981_zpid/,,"2,300",$300/month, 1,For Sale
456,Condo,2012,Gas,Central,2 spaces,$257,"$745,000","2103 N Campbell Ave APT 1S, Chicago, IL 60647", No, 4, 3, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 84.6% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2103-N-Campbell-Ave-APT-1S-Chicago-IL-60647/123561167_zpid/,,"2,900",$319/mo,,For Sale
457,Condo,1926,Gas,Central,1 space,$281,"$270,000","3963 W Belmont Ave UNIT 422, Chicago, IL 60618", No, 2, 1, 1,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 33.1% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3963-W-Belmont-Ave-UNIT-422-Chicago-IL-60618/113959414_zpid/,,961,$375/month,,For Sale
458,Condo,2013,"Forced air, Electric, Gas",Central,1 space,$283,"$849,900","2751 N Kenmore Ave #1, Chicago, IL 60614", No, 4, 3, 3,"Home values in Wrightwood Neighbors have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wrightwood Neighbors will decrease 0.5% () in the next year.This home is valued 25.5% higher () than the median home in Wrightwood Neighbors.The median Zestimate for this neighborhood is $677,229.",https://www.zillow.com/homedetails/2751-N-Kenmore-Ave-1-Chicago-IL-60614/2105595198_zpid/,,"3,000",$205/mo,,For Sale
459,Condo,1975,Electric,Central,3 spaces,$614,"$3,485,000","180 E Pearson St #5801-06, Chicago, IL 60611", No, 3, 3, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 651.2% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/180-E-Pearson-St-5801-06-Chicago-IL-60611/2077658426_zpid/,,"5,675","$3,424/mo", 1,For Sale
460,Condo,2001,"Forced air, Gas",Central,1 space,$319,"$255,000","345 N La Salle Dr APT 510, Chicago, IL 60654", No, 1, 1, 1,"Home values in River North have risen 0.6% () over the past 12 months.Zillow predicts the home values in River North will decrease 0.3% () in the next year.This home is valued 40% lower () than the median home in River North.The median Zestimate for this neighborhood is $425,048.",https://www.zillow.com/homedetails/345-N-La-Salle-Dr-APT-510-Chicago-IL-60654/63701183_zpid/,,800,$430/mo,,For Sale
461,Condo,2007,"Forced air, Gas",Central,1 space,$458,"$440,000","450 E Waterside Dr UNIT 2101, Chicago, IL 60601", No, 1, 2, 1,"Home values in New Eastside have risen 0.6% () over the past 12 months.Zillow predicts the home values in New Eastside will decrease 1.7% () in the next year.This home is valued 10.2% lower () than the median home in New Eastside.The median Zestimate for this neighborhood is $490,075.",https://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-2101-Chicago-IL-60601/89962114_zpid/,,961,$499/mo, 1,For Sale
462,Condo,2001,Forced air,Central,1 space,$415,"$299,000","600 N Dearborn St APT 1210, Chicago, IL 60654", No, 1, 1, 1,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 23.3% lower () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1210-Chicago-IL-60654/63700351_zpid/,,720,$491/month,,For Sale
463,Condo,1920,Gas,Central,No Data,$167,"$159,000","3102 W Belle Plaine Ave #G, Chicago, IL 60618", No, 2, 1, 1,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 60.4% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3102-W-Belle-Plaine-Ave-G-Chicago-IL-60618/2078016559_zpid/,,950,$270/mo,,For Sale
464,Multiple Occupancy,1895,Forced air,Central,No Data,$415,"$789,000","3648 N Wayne Ave, Chicago, IL 60613", No, 5, 3, 3,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 45.9% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3648-N-Wayne-Ave-Chicago-IL-60613/2087846356_zpid/,,"1,900",,,For Sale
465,Condo,1915,"Forced air, Gas",Central,1 space,$242,"$145,000","1331 W North Shore Ave APT 3S, Chicago, IL 60626", No, 1, 1, 1,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% () in the next year.This home is valued 35.9% lower () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1331-W-North-Shore-Ave-APT-3S-Chicago-IL-60626/87699324_zpid/,,600,$210/mo,,For Sale
466,Condo,1908,Electric,Central,1 space,$276,"$579,000","1058 W Armitage Ave #A, Chicago, IL 60614", No, 3, 3, 2,"Home values in Sheffield Neighbors have risen 0.6% () over the past 12 months.Zillow predicts the home values in Sheffield Neighbors will fall 0.6% () in the next year.This home is valued 43.8% lower () than the median home in Sheffield Neighbors.The median Zestimate for this neighborhood is $1,029,586.",https://www.zillow.com/homedetails/1058-W-Armitage-Ave-A-Chicago-IL-60614/2077659158_zpid/,,"2,100",$564/month, 1,For Sale
467,Condo,2002,Forced air,Central,1 space,$371,"$445,000","111 S Morgan St APT 308, Chicago, IL 60607", No, 2, 2, 2,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% () in the next year.This home is valued 5.8% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/111-S-Morgan-St-APT-308-Chicago-IL-60607/65571392_zpid/,,"1,200",$518/month,,For Sale
468,Condo,1973,Forced air,Central,2 spaces,$477,"$739,000","200 E Delaware Pl APT 17F, Chicago, IL 60611", No, 3, 2, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 59.3% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/200-E-Delaware-Pl-APT-17F-Chicago-IL-60611/3849282_zpid/,,"1,550","$1,476/month",,For Sale
469,Single Family,1951,"Forced air, Gas",Central,3 spaces,$185,"$184,900","(Undisclosed Address), Chicago, IL 60652", No, 3, 1, 1,"Home values in Scottsdale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Scottsdale will increase 3.9% () in the next year.This home is valued 9.4% lower () than the median home in Scottsdale.The median Zestimate for this neighborhood is $204,139.",https://www.zillow.com/homedetails/Chicago-IL-60652/2077659324_zpid/,"6,072 sqft","1,000",,,For Sale
470,Townhouse,1945,Gas,Central,2 spaces,$107,"$99,900","9612 S Euclid Ave, Chicago, IL 60617", No, 2, 1, 1,"Home values in 60617 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Jeffery Manor will rise 4.2% () in the next year.This home is valued 10.7% lower () than the median home in Jeffery Manor.The median Zestimate for this neighborhood is $111,909.",https://www.zillow.com/homedetails/9612-S-Euclid-Ave-Chicago-IL-60617/4135775_zpid/,"3,427 sqft",934,,,For Sale
471,Condo,1969,"Radiant, Electric",Wall,1 space,$390,"$835,000","1110 N Lake Shore Dr APT 19N, Chicago, IL 60611", No, 3, 3, 2,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% () in the next year.This home is valued 56.8% higher () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611/3846441_zpid/,,"2,140","$2,305/mo", 1,For Sale
472,Single Family,1900,Gas,No Data,2 spaces,$87,"$125,000","2103 N Long Ave, Chicago, IL 60639", No, 3, 1, 1,"Home values in 60639 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hanson Park will decrease 1.9% () in the next year.This home is valued 48.1% lower () than the median home in Hanson Park.The median Zestimate for this neighborhood is $240,946.",https://www.zillow.com/homedetails/2103-N-Long-Ave-Chicago-IL-60639/3684395_zpid/,"3,149 sqft","1,430",,,For Sale
473,Townhouse,1997,"Electric, Gas",Central,2 spaces,$333,"$500,000","855 W Erie St APT 116, Chicago, IL 60642", No, 2, 3, 3,"Home values in River West have risen 0.6% () over the past 12 months.Zillow predicts the home values in River West will fall 2.3% () in the next year.This home is valued 10.4% higher () than the median home in River West.The median Zestimate for this neighborhood is $452,832.",https://www.zillow.com/homedetails/855-W-Erie-St-APT-116-Chicago-IL-60642/2125705882_zpid/,No Data,"1,500",,,For Sale
474,Single Family,2008,"Forced air, Gas",Central,2 spaces,$225,"$1,600,000","6852 N Tonty Ave, Chicago, IL 60646", No, 8, 6, 5,"Home values in Wildwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wildwood will fall 0.3% () in the next year.This home is valued 262.6% higher () than the median home in Wildwood.The median Zestimate for this neighborhood is $441,218.",https://www.zillow.com/homedetails/6852-N-Tonty-Ave-Chicago-IL-60646/3552996_zpid/,"9,510 sqft","7,111",, 1,For Sale
475,Townhouse,1979,Forced air,Central,1 space,No Data,"$665,000","1906 N Mohawk St #23, Chicago, IL 60614", No, 3, 3, 2,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will decrease 0.8% () in the next year.This home is valued 20.3% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/1906-N-Mohawk-St-23-Chicago-IL-60614/3740190_zpid/,0.73 acres,,$234/month, 1,For Sale
476,Condo,1996,Forced air,Central,1 space,$406,"$690,000","2011 W Wabansia Ave APT 3, Chicago, IL 60647", No, 2, 2, 2,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 14.8% higher () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2011-W-Wabansia-Ave-APT-3-Chicago-IL-60647/3733740_zpid/,,"1,700",$284/month,,For Sale
477,Single Family,2007,Forced air,Central,2 spaces,$322,"$1,999,999","1460 W Byron St, Chicago, IL 60613", No, 6, 6, 5,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 270% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,"3,750 sqft","6,202",, 1,For Sale
478,Single Family,1880,"Forced air, Gas",Central,No Data,$491,"$1,400,000","1720 N Sedgwick St, Chicago, IL 60614", No, 4, 5, 4,"Home values in 60614 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% () in the next year.This home is valued 119.4% higher () than the median home in Old Town Triangle.The median Zestimate for this neighborhood is $638,027.",https://www.zillow.com/homedetails/1720-N-Sedgwick-St-Chicago-IL-60614/2141869717_zpid/,"1,655 sqft","2,850",, 1,For Sale
479,Multiple Occupancy,No Data,"Forced air, Gas",Central,2 spaces,,"$199,900","7112 S Greenwood Ave, Chicago, IL 60619", No, 6, 2, 2,"Home values in Grand Crossing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Grand Crossing will fall 16.8% () in the next year.This home is valued 108.7% higher () than the median home in Grand Crossing.The median Zestimate for this neighborhood is $95,799.",https://www.zillow.com/homedetails/7112-S-Greenwood-Ave-Chicago-IL-60619/2077659687_zpid/,,,,,For Sale
480,Single Family,2020,Forced air,Central,2 spaces,$227,"$839,900","Buildable plan: Modern Farmhouse, The McLean Collection, Chicago, IL 60647", Yes, 4, 4, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 108.1% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/community/mclean-collection/2080014966_zpid/,No Data,,, 1,For Sale
481,Single Family,1951,Forced air,Central,2 spaces,$254,"$249,900","6055 S Melvina Ave, Chicago, IL 60638", No, 4, 2, 2,"Home values in Clearing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Clearing will rise 3.9% () in the next year.This home is valued 8.4% higher () than the median home in Clearing.The median Zestimate for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6055-S-Melvina-Ave-Chicago-IL-60638/3942492_zpid/,"3,750 sqft",984,None,,For Sale
482,Single Family,1954,"Forced air, Gas",Central,3 spaces,$241,"$489,900","5858 S Natchez Ave, Chicago, IL 60638", No, 3, 2, 2,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will increase 4.1% () in the next year.This home is valued 103% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5858-S-Natchez-Ave-Chicago-IL-60638/3945612_zpid/,"4,852 sqft","2,032",,,For Sale
483,Single Family,1966,"Forced air, Gas",Central,2 spaces,$82,"$135,000","1741 E 91st Pl, Chicago, IL 60617", No, 4, 2, 2,"Home values in Calumet Heights have risen 0.6% () over the past 12 months.Zillow predicts the home values in Calumet Heights will decrease 1.3% () in the next year.This home is valued 4.5% lower () than the median home in Calumet Heights.The median Zestimate for this neighborhood is $141,384.",https://www.zillow.com/homedetails/1741-E-91st-Pl-Chicago-IL-60617/4112391_zpid/,"5,000 sqft","1,645",,,For Sale
484,Condo,1914,Gas,No Data,1 space,$196,"$275,000","6435 N Newgard Ave #1-N, Chicago, IL 60626", No, 2, 1, 1,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% () in the next year.This home is valued 21.6% higher () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/6435-N-Newgard-Ave-1-N-Chicago-IL-60626/2077659871_zpid/,,"1,400",$300/mo,,For Sale
