,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms,Status
112,Condo,1986,Forced air,Central,1 space,$300/month," $186,900","6440 W Devon Ave APT 306, Chicago, IL 60631",, No, 1, 1, 1,"Home values in Norwood Park East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Norwood Park East will fall 1.2% (↓) in the next year.This home is valued 44.2% lower (↓) than the median home in Norwood Park East.The median Zestimate® for this neighborhood is $334,700.",https://www.zillow.com/homedetails/6440-W-Devon-Ave-APT-306-Chicago-IL-60631/3552574_zpid/,,,Sold
113,Condo,2001,Forced air,Central,1 space,$168/month," $410,000","1423 W Argyle St APT 3N, Chicago, IL 60640","1,320", No, 2, 2, 2,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 35.1% higher (↑) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1423-W-Argyle-St-APT-3N-Chicago-IL-60640/70459885_zpid/,,,Sold
114,Condo,1925,No Data,No Data,1 space,$405/month," $399,900","2749 W Giddings St APT 3E, Chicago, IL 60625",, No, 2, 2, 2,"Home values in Ravenswood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ravenswood will increase 2.6% (↑) in the next year.This home is valued 19.8% lower (↓) than the median home in Ravenswood.The median Zestimate® for this neighborhood is $498,877.",https://www.zillow.com/homedetails/2749-W-Giddings-St-APT-3E-Chicago-IL-60625/2078315869_zpid/,,,Sold
115,Single Family,1905,Gas,Central,2 spaces,," $482,000","4557 N Springfield Ave, Chicago, IL 60625","1,910", No, 4, 3, 3,"Home values in Albany Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% (↓) in the next year.This home is valued 53.2% higher (↑) than the median home in Albany Park.The median Zestimate® for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4557-N-Springfield-Ave-Chicago-IL-60625/3644499_zpid/,"3,615 sqft",,Sold
116,Condo,1916,Forced air,Central,1 space,$250/month," $404,000","1449 W Edgewater Ave #3, Chicago, IL 60660",, No, 2, 2, 2,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will rise 1.3% (↑) in the next year.This home is valued 66.8% higher (↑) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/1449-W-Edgewater-Ave-3-Chicago-IL-60660/80845942_zpid/,,,Sold
117,Condo,1895,Forced air,Central,1 space,$726/month," $590,000","2100 N Racine Ave APT 1A, Chicago, IL 60614","2,450", No, 2, 2, 2,"Home values in Sheffield Neighbors have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sheffield Neighbors will fall 0.6% (↓) in the next year.This home is valued 42.7% lower (↓) than the median home in Sheffield Neighbors.The median Zestimate® for this neighborhood is $1,029,586.",https://www.zillow.com/homedetails/2100-N-Racine-Ave-APT-1A-Chicago-IL-60614/3734976_zpid/,,,Sold
118,Condo,1992,Forced air,Central,2 spaces,$200/month," $525,000","1808 W Diversey Pkwy APT M, Chicago, IL 60614","1,900", No, 3, 3, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 2.9% lower (↓) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1808-W-Diversey-Pkwy-APT-M-Chicago-IL-60614/3731498_zpid/,, 1,Sold
119,Condo,1978,Baseboard,Wall,1 space,$648/month," $235,000","3900 N Pine Grove Ave APT 902, Chicago, IL 60613","1,000", No, 2, 2, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 56.5% lower (↓) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3900-N-Pine-Grove-Ave-APT-902-Chicago-IL-60613/80810895_zpid/,,,Sold
120,Single Family,1960,Gas,Central,2 spaces,," $299,900","4719 W 82nd St, Chicago, IL 60652","2,000", No, 4, 3, 3,"Home values in Scottsdale have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Scottsdale will increase 3.9% (↑) in the next year.This home is valued 46.9% higher (↑) than the median home in Scottsdale.The median Zestimate® for this neighborhood is $204,139.",https://www.zillow.com/homedetails/4719-W-82nd-St-Chicago-IL-60652/3971318_zpid/,"5,401 sqft",,Sold
121,Single Family,1910,Gas,No Data,1 space,," $135,000","2834 S Kolin Ave, Chicago, IL 60623","1,071", No, 3, 1, 1,"Home values in Little Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Little Village will fall 0.5% (↓) in the next year.This home is valued 10% lower (↓) than the median home in Little Village.The median Zestimate® for this neighborhood is $149,958.",https://www.zillow.com/homedetails/2834-S-Kolin-Ave-Chicago-IL-60623/3827865_zpid/,"3,125 sqft",,Sold
122,Multi Family,1890,Forced air,No Data,2 spaces,," $550,000","3638 S Union Ave, Chicago, IL 60609",, No, 6, 4, 4,"Home values in Bridgeport have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% (↓) in the next year.This home is valued 51.8% higher (↑) than the median home in Bridgeport.The median Zestimate® for this neighborhood is $362,289.",https://www.zillow.com/homedetails/3638-S-Union-Ave-Chicago-IL-60609/2087269691_zpid/,,,Sold
123,Townhouse,2003,Forced air,Central,2 spaces,$177/month," $757,500","1215 N Sedgwick St, Chicago, IL 60610","2,400", No, 3, 3, 2,"Home values in Old Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town will decrease 0.2% (↓) in the next year.This home is valued 90.1% higher (↑) than the median home in Old Town.The median Zestimate® for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1215-N-Sedgwick-St-Chicago-IL-60610/65550778_zpid/,901 sqft, 1,Sold
124,Single Family,1890,Radiant,Other,2 spaces,None," $885,000","1739 N Honore St, Chicago, IL 60622","1,588", No, 3, 3, 3,"Home values in Bucktown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bucktown will increase 0.5% (↑) in the next year.This home is valued 47.2% higher (↑) than the median home in Bucktown.The median Zestimate® for this neighborhood is $601,188.",https://www.zillow.com/homedetails/1739-N-Honore-St-Chicago-IL-60622/3734143_zpid/,"2,905 sqft",,Sold
125,Condo,1923,Forced air,Central,1 space,$297/month," $525,000","5310 N Paulina St APT 1S, Chicago, IL 60640","2,100", No, 3, 2, 2,"Home values in Andersonville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Andersonville will rise 3.3% (↑) in the next year.This home is valued 13.1% higher (↑) than the median home in Andersonville.The median Zestimate® for this neighborhood is $464,364.",https://www.zillow.com/homedetails/5310-N-Paulina-St-APT-1S-Chicago-IL-60640/2079277988_zpid/,,,Sold
126,Single Family,1910,Forced air,Central,1 space,None," $875,000","5410 N Paulina St, Chicago, IL 60640","2,094", No, 4, 4, 3,"Home values in Andersonville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Andersonville will increase 3.3% (↑) in the next year.This home is valued 88.4% higher (↑) than the median home in Andersonville.The median Zestimate® for this neighborhood is $464,364.",https://www.zillow.com/homedetails/5410-N-Paulina-St-Chicago-IL-60640/3697562_zpid/,"4,460 sqft", 1,Sold
127,Multi Family,1890,Forced air,Central,None,," $1,005,000","1257 W Nelson St, Chicago, IL 60657",, No, 4, 3, 3,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% (↓) in the next year.This home is valued 85.9% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1257-W-Nelson-St-Chicago-IL-60657/2116368366_zpid/,,,Sold
128,Condo,2004,Forced air,Central,1 space,$226/month," $610,000","1955 W Barry Ave APT 2E, Chicago, IL 60657",, No, 3, 3, 3,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% (↓) in the next year.This home is valued 12.8% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1955-W-Barry-Ave-APT-2E-Chicago-IL-60657/70461865_zpid/,,,Sold
129,Single Family,1947,Forced air,Central,2 spaces,," $552,000","7150 N Mankato Ave, Chicago, IL 60646","3,421", No, 5, 4, 4,"Home values in Wildwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wildwood will fall 0.3% (↓) in the next year.This home is valued 25.1% higher (↑) than the median home in Wildwood.The median Zestimate® for this neighborhood is $441,218.",https://www.zillow.com/homedetails/7150-N-Mankato-Ave-Chicago-IL-60646/3552667_zpid/,"7,122 sqft",,Sold
130,Condo,2005,Gas,Central,1 space,$322/month," $390,000","1148 W Roscoe St APT 3W, Chicago, IL 60657","1,350", No, 2, 2, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% (↓) in the next year.This home is valued 27.9% lower (↓) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1148-W-Roscoe-St-APT-3W-Chicago-IL-60657/80827802_zpid/,,,Sold
131,Condo,1999,Forced air,Central,2 spaces,$245/month," $737,500","1308 W Fletcher St APT 3W, Chicago, IL 60657","2,200", No, 3, 3, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 36.4% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1308-W-Fletcher-St-APT-3W-Chicago-IL-60657/58361929_zpid/,, 1,Sold
132,Single Family,1888,Gas,Central,2 spaces,," $245,750","10216 S Parnell Ave, Chicago, IL 60628","2,084", No, 4, 2, 2,"Home values in Fernwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Fernwood will increase 0.8% (↑) in the next year.This home is valued 167.1% higher (↑) than the median home in Fernwood.The median Zestimate® for this neighborhood is $91,990.",https://www.zillow.com/homedetails/10216-S-Parnell-Ave-Chicago-IL-60628/4131942_zpid/,"6,250 sqft",,Sold
133,Condo,2005,Forced air,Central,1 space,$471/month," $285,000","950 W Monroe St UNIT 909, Chicago, IL 60607",750, No, 1, 1, 1,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% (↑) in the next year.This home is valued 32.3% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/950-W-Monroe-St-UNIT-909-Chicago-IL-60607/80855385_zpid/,,,Sold
134,Condo,2002,Forced air,Central,1 space,$300/month," $226,000","4534 N Cumberland Ave UNIT 404, Chicago, IL 60656","1,260", No, 2, 2, 2,"Home values in Schorsch Forest View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Schorsch Forest View will rise 0.6% (↑) in the next year.This home is valued 38.5% lower (↓) than the median home in Schorsch Forest View.The median Zestimate® for this neighborhood is $367,273.",https://www.zillow.com/homedetails/4534-N-Cumberland-Ave-UNIT-404-Chicago-IL-60656/63692475_zpid/,,,Sold
135,Condo,2004,Forced air,Central,1 space,$338/month," $443,000","810 N Wolcott Ave APT 2B, Chicago, IL 60622","1,335", No, 2, 2, 2,"Home values in East Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Ukrainian Village will rise 1.7% (↑) in the next year.This home is valued 16.6% lower (↓) than the median home in East Ukrainian Village.The median Zestimate® for this neighborhood is $531,329.",https://www.zillow.com/homedetails/810-N-Wolcott-Ave-APT-2B-Chicago-IL-60622/70465456_zpid/,,,Sold
136,Single Family,1945,Forced air,Central,1 space,," $389,000","9406 S Winchester Ave, Chicago, IL 60643","2,245", No, 3, 3, 2,"Home values in Beverly have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Beverly will rise 0.8% (↑) in the next year.This home is valued 12.3% higher (↑) than the median home in Beverly.The median Zestimate® for this neighborhood is $346,385.",https://www.zillow.com/homedetails/9406-S-Winchester-Ave-Chicago-IL-60643/4124776_zpid/,"6,359 sqft", 1,Sold
137,Single Family,1955,Other,Central,2 spaces,," $284,000","3418 W 72nd St, Chicago, IL 60629","1,980", No, 5, 3, 3,"Home values in Marquette Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% (↑) in the next year.This home is valued 75.5% higher (↑) than the median home in Marquette Park.The median Zestimate® for this neighborhood is $161,845.",https://www.zillow.com/homedetails/3418-W-72nd-St-Chicago-IL-60629/3958626_zpid/,"3,746 sqft",,Sold
138,Condo,1935,Other,No Data,None,$290/month," $135,000","4213 N Kedvale Ave APT 1J, Chicago, IL 60641",, No, 1, 1, 1,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% (↓) in the next year.This home is valued 66.4% lower (↓) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4213-N-Kedvale-Ave-APT-1J-Chicago-IL-60641/80822936_zpid/,,,Sold
139,Condo,1919,Gas,Central,1 space,$398/month," $328,500","1040 W Adams St UNIT 374, Chicago, IL 60607",850, No, 1, 1, 1,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 21.9% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1040-W-Adams-St-UNIT-374-Chicago-IL-60607/89976711_zpid/,,,Sold
140,Condo,1904,Forced air,Central,1 space,$386/month," $375,000","5444 N Winthrop Ave #2N, Chicago, IL 60640","1,500", No, 2, 2, 2,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% (↑) in the next year.This home is valued 54.8% higher (↑) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5444-N-Winthrop-Ave-2N-Chicago-IL-60640/89881304_zpid/,,,Sold
141,Condo,1969,Forced air,Central,2 spaces,"$1,346/month"," $515,000","2800 N Lake Shore Dr APT 3809, Chicago, IL 60657","1,800", No, 3, 2, 2,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 63.2% higher (↑) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-3809-Chicago-IL-60657/3723879_zpid/,,,Sold
142,Townhouse,1999,Forced air,Central,2 spaces,$635/month," $1,089,000","15 N Racine Ave UNIT 501, Chicago, IL 60607","2,667", No, 3, 3, 3,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 158.8% higher (↑) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/15-N-Racine-Ave-UNIT-501-Chicago-IL-60607/58365879_zpid/,1.73 acres,,Sold
143,Condo,2008,Gas,Central,On street,$946/month," $1,950","8 E Randolph St UNIT 2506, Chicago, IL 60601",, No, 1, 1,,"Home values in The Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in The Loop will fall 3.3% (↓) in the next year.This home is valued 99.5% lower (↓) than the median home in The Loop.The median Zestimate® for this neighborhood is $369,141.",https://www.zillow.com/homedetails/8-E-Randolph-St-UNIT-2506-Chicago-IL-60601/101436041_zpid/,,,Sold
144,Condo,2002,Gas,Central,1 space,$539/month," $1,010,000","1152 W Fulton St #2A, Chicago, IL 60607","2,000", No, 2, 2, 2,"Home values in West Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% (↑) in the next year.This home is valued 99% higher (↑) than the median home in West Town.The median Zestimate® for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1152-W-Fulton-St-2A-Chicago-IL-60607/2102921838_zpid/,,,Sold
145,Single Family,1939,Forced air,Central,4 spaces,None," $740,000","10615 S Seeley Ave, Chicago, IL 60643","3,685", No, 4, 6, 3,"Home values in Beverly have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Beverly will increase 0.8% (↑) in the next year.This home is valued 113.6% higher (↑) than the median home in Beverly.The median Zestimate® for this neighborhood is $346,385.",https://www.zillow.com/homedetails/10615-S-Seeley-Ave-Chicago-IL-60643/4146417_zpid/,0.34 acres, 3,Sold
146,Single Family,2005,Other,Central,No Data,$697/month," $1,600","400 N La Salle Dr APT 4203, Chicago, IL 60654",534, No, 0, 1,,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will fall 0.3% (↓) in the next year.This home is valued 99.6% lower (↓) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/400-N-La-Salle-Dr-APT-4203-Chicago-IL-60654/80837933_zpid/,0.64 acres,,Sold
147,Single Family,1922,Forced air,Central,2 spaces,None," $391,000","4729 N Keeler Ave, Chicago, IL 60630","2,356", No, 4, 3, 3,"Home values in Albany Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% (↓) in the next year.This home is valued 24.2% higher (↑) than the median home in Albany Park.The median Zestimate® for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4729-N-Keeler-Ave-Chicago-IL-60630/3646343_zpid/,"3,811 sqft",,Sold
148,Multi Family,No Data,Forced air,No Data,2 spaces,," $675,000","4334 N Winchester Ave, Chicago, IL 60613",, No, 4, 3, 2,"Home values in North Center have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in North Center will rise 1.3% (↑) in the next year.This home is valued 11.8% lower (↓) than the median home in North Center.The median Zestimate® for this neighborhood is $765,003.",https://www.zillow.com/homedetails/4334-N-Winchester-Ave-Chicago-IL-60613/2080507785_zpid/,, 1,Sold
149,Condo,1918,Forced air,Central,1 space,$491/month," $340,000","758 N Larrabee St APT 602, Chicago, IL 60654",950, No, 1, 2, 1,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will fall 0.3% (↓) in the next year.This home is valued 20% lower (↓) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/758-N-Larrabee-St-APT-602-Chicago-IL-60654/63698920_zpid/,, 1,Sold
150,Multi Family,1956,Forced air,Central,2 spaces,," $615,600","5839 N Cicero Ave, Chicago, IL 60646",, No, 8, 5, 3,"Home values in Sauganash have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sauganash will rise 1.5% (↑) in the next year.This home is valued 40.9% higher (↑) than the median home in Sauganash.The median Zestimate® for this neighborhood is $436,778.",https://www.zillow.com/homedetails/5839-N-Cicero-Ave-Chicago-IL-60646/2078606723_zpid/,, 2,Sold
151,Condo,1920,Forced air,Central,None,$256/month," $262,000","1224 N Washtenaw Ave #3, Chicago, IL 60622","1,100", No, 2, 2,,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% (↑) in the next year.This home is valued 12.7% lower (↓) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/1224-N-Washtenaw-Ave-3-Chicago-IL-60622/87694533_zpid/,,,Sold
152,Single Family,1932,Forced air,Central,2 spaces,None," $400,000","3304 N Oak Park Ave, Chicago, IL 60634","1,900", No, 3, 3, 3,"Home values in Schorsch Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Schorsch Village will decrease 3.8% (↓) in the next year.This home is valued 41.4% higher (↑) than the median home in Schorsch Village.The median Zestimate® for this neighborhood is $282,834.",https://www.zillow.com/homedetails/3304-N-Oak-Park-Ave-Chicago-IL-60634/3657225_zpid/,"3,920 sqft",,Sold
153,Single Family,1955,Forced air,Central,2 spaces,None," $257,500","2915 N Kildare Ave, Chicago, IL 60641","1,000", No, 3, 1, 1,"Home values in Belmont Gardens have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Belmont Gardens will fall 2.3% (↓) in the next year.This home is valued 3% lower (↓) than the median home in Belmont Gardens.The median Zestimate® for this neighborhood is $265,508.",https://www.zillow.com/homedetails/2915-N-Kildare-Ave-Chicago-IL-60641/3671564_zpid/,"3,698 sqft",,Sold
154,Townhouse,1987,Forced air,Central,2 spaces,$375/month," $405,000","4226 W Harrington Ln, Chicago, IL 60646","1,985", No, 2, 3, 2,"Home values in Sauganash have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sauganash will rise 1.5% (↑) in the next year.This home is valued 7.3% lower (↓) than the median home in Sauganash.The median Zestimate® for this neighborhood is $436,778.",https://www.zillow.com/homedetails/4226-W-Harrington-Ln-Chicago-IL-60646/2111523847_zpid/,"1,768 sqft", 1,Sold
155,Single Family,1920,Forced air,Central,2 spaces,," $355,000","3243 W Berteau Ave, Chicago, IL 60618","1,763", No, 3, 2, 1,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% (↓) in the next year.This home is valued 11.6% lower (↓) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3243-W-Berteau-Ave-Chicago-IL-60618/3645767_zpid/,"3,123 sqft", 1,Sold
156,Condo,2019,Forced air,Central,1 space,$158/month," $460,000","1819 N St Louis Ave #1RS, Chicago, IL 60647","1,850", No, 3, 3, 3,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 14% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1819-N-St-Louis-Ave-1RS-Chicago-IL-60647/2085662546_zpid/,,,Sold
157,Condo,1989,Forced air,Central,1 space,$276/month," $328,000","1100 W Cornelia Ave APT 133, Chicago, IL 60657","1,000", No, 1, 2, 1,"Home values in Wrigleyville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wrigleyville will fall 1.8% (↓) in the next year.This home is valued 31.3% lower (↓) than the median home in Wrigleyville.The median Zestimate® for this neighborhood is $477,638.",https://www.zillow.com/homedetails/1100-W-Cornelia-Ave-APT-133-Chicago-IL-60657/3712269_zpid/,, 1,Sold
158,Single Family,1925,Forced air,Central,2 spaces,," $874,000","5846 N Kilbourn Ave, Chicago, IL 60646","4,500", No, 4, 4, 3,"Home values in Sauganash have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sauganash will rise 1.5% (↑) in the next year.This home is valued 100.1% higher (↑) than the median home in Sauganash.The median Zestimate® for this neighborhood is $436,778.",https://www.zillow.com/homedetails/5846-N-Kilbourn-Ave-Chicago-IL-60646/65557553_zpid/,"7,405 sqft", 1,Sold
159,Condo,1943,No Data,No Data,No Data,$400/month," $575,000","2222 N Racine Ave APT 14, Chicago, IL 60614","1,784", No, 2, 3,,"Home values in Sheffield Neighbors have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sheffield Neighbors will decrease 0.6% (↓) in the next year.This home is valued 44.2% lower (↓) than the median home in Sheffield Neighbors.The median Zestimate® for this neighborhood is $1,029,586.",https://www.zillow.com/homedetails/2222-N-Racine-Ave-APT-14-Chicago-IL-60614/3734825_zpid/,,,Sold
160,Condo,1964,Electric,Central,1 space,$279/month," $168,000","6220 N Ridge Ave APT S103, Chicago, IL 60660","1,175", No, 2, 2, 1,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will increase 1.7% (↑) in the next year.This home is valued 44.7% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6220-N-Ridge-Ave-APT-S103-Chicago-IL-60660/2096310020_zpid/,, 1,Sold
161,Condo,No Data,No Data,No Data,No Data,No Data," $609,000","1948 W Fletcher St UNIT 2W, Chicago, IL 60657",, No, 0,,,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% (↓) in the next year.This home is valued 12.7% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1948-W-Fletcher-St-UNIT-2W-Chicago-IL-60657/159464153_zpid/,,,Sold
162,Condo,1974,Forced air,Central,Attached Garage,$645/month," $150,000","5415 N Sheridan Rd APT 5414, Chicago, IL 60640",700, No, 1, 1, 1,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% (↑) in the next year.This home is valued 38.1% lower (↓) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5415-N-Sheridan-Rd-APT-5414-Chicago-IL-60640/3700755_zpid/,,,Sold
163,Single Family,1957,Gas,Central,2 spaces,," $310,000","6047 S Mulligan Ave, Chicago, IL 60638","1,200", No, 4, 2, 2,"Home values in Clearing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Clearing will increase 3.9% (↑) in the next year.This home is valued 34.5% higher (↑) than the median home in Clearing.The median Zestimate® for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6047-S-Mulligan-Ave-Chicago-IL-60638/3942382_zpid/,"3,789 sqft",,Sold
164,Single Family,1961,Forced air,Central,2 spaces,None," $270,000","4351 S Keating Ave, Chicago, IL 60632","1,020", No, 5, 2, 2,"Home values in 60632 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sleepy Hollow will increase 8.6% (↑) in the next year.This home is valued 37.5% higher (↑) than the median home in Sleepy Hollow.The median Zestimate® for this neighborhood is $196,360.",https://www.zillow.com/homedetails/4351-S-Keating-Ave-Chicago-IL-60632/3915462_zpid/,"3,149 sqft",,Sold
165,Single Family,1967,Forced air,Central,4 spaces,," $281,000","8426 S Kenton Ave, Chicago, IL 60652","2,400", No, 5, 2, 2,"Home values in Scottsdale have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Scottsdale will rise 3.9% (↑) in the next year.This home is valued 37.7% higher (↑) than the median home in Scottsdale.The median Zestimate® for this neighborhood is $204,139.",https://www.zillow.com/homedetails/8426-S-Kenton-Ave-Chicago-IL-60652/3973092_zpid/,"4,944 sqft",,Sold
166,Condo,1929,Gas,No Data,1 space,"$1,123/month"," $80,000","6901 S Oglesby Ave APT 7C, Chicago, IL 60649","3,200", No, 4, 4, 4,"Home values in South Shore have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Shore will rise 4.3% (↑) in the next year.This home is valued 26.3% lower (↓) than the median home in South Shore.The median Zestimate® for this neighborhood is $108,577.",https://www.zillow.com/homedetails/6901-S-Oglesby-Ave-APT-7C-Chicago-IL-60649/119095615_zpid/,,,Sold
167,Single Family,1925,Gas,Central,2 spaces,," $316,000","11130 S Saint Louis Ave, Chicago, IL 60655","2,200", No, 5, 3, 3,"Home values in Mount Greenwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Mount Greenwood will increase 1.5% (↑) in the next year.This home is valued 30.1% higher (↑) than the median home in Mount Greenwood.The median Zestimate® for this neighborhood is $242,860.",https://www.zillow.com/homedetails/11130-S-Saint-Louis-Ave-Chicago-IL-60655/4096465_zpid/,"3,811 sqft",,Sold
