,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms
443,Townhouse,1997,"Electric, Gas",Central,2 spaces,$333,"$500,000","855 W Erie St APT 116, Chicago, IL 60642", No, 2, 3, 3,"Home values in River West have risen 0.6% () over the past 12 months.Zillow predicts the home values in River West will fall 2.3% () in the next year.This home is valued 10.4% higher () than the median home in River West.The median Zestimate for this neighborhood is $452,832.",https://www.zillow.com/homedetails/855-W-Erie-St-APT-116-Chicago-IL-60642/2125705882_zpid/,No Data,"1,500",,
444,Townhouse,1979,"Forced air, Gas",Central,1 space,,"$665,000","1906 N Mohawk St #23, Chicago, IL 60614", No, 3, 3, 2,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 20.3% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/1906-N-Mohawk-St-23-Chicago-IL-60614/3740190_zpid/,0.73 Acres,,, 1
445,Single Family,2007,Forced air,Central,2 spaces,$322,"$1,999,999","1460 W Byron St, Chicago, IL 60613", No, 6, 6, 5,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 270% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,"3,750 sqft","6,202",, 1
446,Single Family,1880,Forced air,Central,None,$491,"$1,400,000","1720 N Sedgwick St, Chicago, IL 60614", No, 4, 5, 4,"Home values in 60614 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% () in the next year.This home is valued 119.4% higher () than the median home in Old Town Triangle.The median Zestimate for this neighborhood is $638,027.",https://www.zillow.com/homedetails/1720-N-Sedgwick-St-Chicago-IL-60614/2141869717_zpid/,"1,655 sqft","2,850",, 1
447,Single Family,2008,Forced air,Central,2 spaces,$225,"$1,600,000","6852 N Tonty Ave, Chicago, IL 60646", No, 8, 6, 5,"Home values in Wildwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wildwood will fall 0.3% () in the next year.This home is valued 262.6% higher () than the median home in Wildwood.The median Zestimate for this neighborhood is $441,218.",https://www.zillow.com/homedetails/6852-N-Tonty-Ave-Chicago-IL-60646/3552996_zpid/,"9,510 sqft","7,111",, 1
448,Condo,1996,Forced air,Central,1 space,$406,"$690,000","2011 W Wabansia Ave APT 3, Chicago, IL 60647", No, 2, 2, 2,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 14.8% higher () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2011-W-Wabansia-Ave-APT-3-Chicago-IL-60647/3733740_zpid/,,"1,700",$284/month,
449,Multi Family,No Data,Forced air,Central,2 spaces,No Data,"$199,900","7112 S Greenwood Ave, Chicago, IL 60619", No, 6, 2, 2,"Home values in Grand Crossing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Grand Crossing will fall 16.8% () in the next year.This home is valued 108.7% higher () than the median home in Grand Crossing.The median Zestimate for this neighborhood is $95,799.",https://www.zillow.com/homedetails/7112-S-Greenwood-Ave-Chicago-IL-60619/2077659687_zpid/,,,,
450,Single Family,1951,Forced air,Central,2 spaces,$254,"$249,900","6055 S Melvina Ave, Chicago, IL 60638", No, 4, 2, 2,"Home values in Clearing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Clearing will rise 3.9% () in the next year.This home is valued 8.4% higher () than the median home in Clearing.The median Zestimate for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6055-S-Melvina-Ave-Chicago-IL-60638/3942492_zpid/,"3,750 sqft",984,None,
451,Single Family,1954,"Forced air, Gas",Central,3 spaces,$241,"$489,900","5858 S Natchez Ave, Chicago, IL 60638", No, 3, 2, 2,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% () in the next year.This home is valued 103% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5858-S-Natchez-Ave-Chicago-IL-60638/3945612_zpid/,"4,852 sqft","2,032",,
452,Single Family,1966,Forced air,Central,2 spaces,$82,"$135,000","1741 E 91st Pl, Chicago, IL 60617", No, 4, 2, 2,"Home values in Calumet Heights have risen 0.6% () over the past 12 months.Zillow predicts the home values in Calumet Heights will fall 1.3% () in the next year.This home is valued 4.5% lower () than the median home in Calumet Heights.The median Zestimate for this neighborhood is $141,384.",https://www.zillow.com/homedetails/1741-E-91st-Pl-Chicago-IL-60617/4112391_zpid/,"5,000 sqft","1,645",None,
453,Multiple Occupancy,1914,"Forced air, Gas",Central,2 spaces,,"$644,500","5030 W Hutchinson St, Chicago, IL 60641", No, 8, 5, 5,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will fall 2% () in the next year.This home is valued 122.3% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/5030-W-Hutchinson-St-Chicago-IL-60641/2146987904_zpid/,,,,
454,Condo,1955,"Forced air, Gas",Central,2 spaces,$411,"$265,000","900 N Lake Shore Dr APT 811, Chicago, IL 60611", No, 0, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 42.9% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611/3849447_zpid/,,645,$391/mo,
455,Condo,1914,Gas,No Data,1 space,$196,"$275,000","6435 N Newgard Ave #1-N, Chicago, IL 60626", No, 2, 1, 1,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% () in the next year.This home is valued 21.6% higher () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/6435-N-Newgard-Ave-1-N-Chicago-IL-60626/2077659871_zpid/,,"1,400",$300/mo,
456,Single Family,2007,Forced air,Central,4 spaces,$476,"$2,950,000","1464 W Byron St, Chicago, IL 60613", No, 6, 6, 5,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 445.7% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1464-W-Byron-St-Chicago-IL-60613/3710859_zpid/,"3,750 sqft","6,202",, 1
457,Condo,1955,"Forced air, Gas",Central,1 space,$315,"$264,500","910 N Lake Shore Dr APT 2016, Chicago, IL 60610", No, 1, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 43% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610/2077660302_zpid/,,841,$667/mo,
458,Single Family,1974,Gas,Central,2 spaces,$316,"$379,000","3615 S Wallace St, Chicago, IL 60609", No, 3, 1, 1,"Home values in Bridgeport have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% () in the next year.This home is valued 4.6% higher () than the median home in Bridgeport.The median Zestimate for this neighborhood is $362,289.",https://www.zillow.com/homedetails/3615-S-Wallace-St-Chicago-IL-60609/3881931_zpid/,"3,123 sqft","1,200",,
459,Condo,1969,Baseboard,Central,1 space,$342,"$205,000","2800 N Lake Shore Dr APT 1709, Chicago, IL 60657", No, 0, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% () in the next year.This home is valued 35% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657/3723529_zpid/,,600,$361/month,
460,Condo,1973,No Data,No Data,None,No Data,"$289,900","71 E Division St APT 1102, Chicago, IL 60610", No, 1, 1, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% () in the next year.This home is valued 45.5% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/71-E-Division-St-APT-1102-Chicago-IL-60610/3846232_zpid/,,,$550/month,
461,Single Family,2018,"Forced air, Gas",Central,2 spaces,$240,"$649,000","3350 N Kilbourn Ave, Chicago, IL 60641", No, 4, 4, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 61.7% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3350-N-Kilbourn-Ave-Chicago-IL-60641/306332407_zpid/,"3,199 sqft","2,700",, 1
462,Condo,2007,"Forced air, Gas",Central,1 space,$605,"$1,120,000","600 N Fairbanks Ct UNIT 3510, Chicago, IL 60611", No, 2, 2, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% () in the next year.This home is valued 141.4% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611/89887943_zpid/,,"1,852","$1,302/mo",
463,Single Family,2006,Forced air,Central,2 spaces,$163,"$489,000","3124 N Olcott Ave, Chicago, IL 60707", No, 5, 4, 3,"Home values in Belmont Heights have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Heights will fall 3.5% () in the next year.This home is valued 85% higher () than the median home in Belmont Heights.The median Zestimate for this neighborhood is $264,290.",https://www.zillow.com/homedetails/3124-N-Olcott-Ave-Chicago-IL-60707/3601352_zpid/,"4,430 sqft","3,000",None, 1
464,Condo,1972,Electric,No Data,1 space,$275,"$330,000","1221 N Dearborn St PENTHOUSE P9N, Chicago, IL 60610", No, 2, 2, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% () in the next year.This home is valued 38% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610/2077660538_zpid/,,"1,200",$803/mo, 1
465,Condo,1963,Forced air,Central,2 spaces,$429,"$365,000","400 E Randolph St APT 2528, Chicago, IL 60601", No, 1, 1, 1,"Home values in New Eastside have risen 0.6% () over the past 12 months.Zillow predicts the home values in New Eastside will decrease 1.7% () in the next year.This home is valued 25.5% lower () than the median home in New Eastside.The median Zestimate for this neighborhood is $490,075.",https://www.zillow.com/homedetails/400-E-Randolph-St-APT-2528-Chicago-IL-60601/3869556_zpid/,,850,$658/mo,
466,Condo,1895,Gas,Central,1 space,$331,"$290,000","625 W Jackson Blvd APT 309, Chicago, IL 60661", No, 1, 1, 1,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will decrease 0.5% () in the next year.This home is valued 14.4% lower () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/625-W-Jackson-Blvd-APT-309-Chicago-IL-60661/61960988_zpid/,,875,$449/mo,
467,Multiple Occupancy,1920,Gas,Central,2 spaces,,"$1,150,000","2141 W Crystal St, Chicago, IL 60622", No, 6, 5, 3,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will increase 1.1% () in the next year.This home is valued 96.4% higher () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/2141-W-Crystal-St-Chicago-IL-60622/2099654380_zpid/,,,, 2
468,Multiple Occupancy,1900,Other,No Data,2 spaces,,"$749,000","2946 N Rockwell St, Chicago, IL 60618", No, 6, 3, 3,"Home values in Avondale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Avondale will increase 0% () in the next year.This home is valued 89.7% higher () than the median home in Avondale.The median Zestimate for this neighborhood is $394,918.",https://www.zillow.com/homedetails/2946-N-Rockwell-St-Chicago-IL-60618/2077660605_zpid/,,,,
469,Condo,2003,"Forced air, Gas",Central,1 space,$245,"$475,000","2940 N Spaulding Ave APT 1N, Chicago, IL 60618", No, 3, 3, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 17.7% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618/70458835_zpid/,,"1,936",$418/mo,
470,Condo,1918,Gas,Central,1 space,$297,"$315,000","820 W Sunnyside Ave APT 3B, Chicago, IL 60640", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 3.8% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640/70451050_zpid/,,"1,059",$255/month,
471,Condo,1911,"Forced air, Gas",Central,1 space,$443,"$1,799,888","910 S Michigan Ave APT 1905, Chicago, IL 60605", No, 3, 3, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 377.5% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1905-Chicago-IL-60605/70472156_zpid/,,"4,067","$2,422/mo", 1
472,Single Family,1956,Gas,Central,5 spaces,$308,"$309,000","5832 S Newcastle Ave, Chicago, IL 60638", No, 3, 1, 1,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will increase 4.1% () in the next year.This home is valued 28% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5832-S-Newcastle-Ave-Chicago-IL-60638/3944672_zpid/,"4,748 sqft","1,004",,
473,Multiple Occupancy,1908,"Forced air, Gas",Central,2 spaces,$585,"$585,000","4126 N Drake Ave, Chicago, IL 60618", No, 7, 3, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 45.7% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4126-N-Drake-Ave-Chicago-IL-60618/2125272056_zpid/,,"1,000",,
474,Condo,No Data,Gas,Central,1 space,$150,"$164,900","538 E 44th St APT G, Chicago, IL 60653", No, 2, 2, 2,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will increase 2.7% () in the next year.This home is valued 37.8% lower () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/538-E-44th-St-APT-G-Chicago-IL-60653/113961275_zpid/,,"1,100",$175/month,
475,Condo,2007,"Forced air, Gas",Central,1 space,$388,"$659,000","2424 N Southport Ave APT D, Chicago, IL 60614", No, 4, 3,,"Home values in West De Paul have risen 0.6% () over the past 12 months.Zillow predicts the home values in West De Paul will decrease 0.9% () in the next year.This home is valued 15.9% lower () than the median home in West De Paul.The median Zestimate for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2424-N-Southport-Ave-APT-D-Chicago-IL-60614/89962465_zpid/,,"1,700",$98/mo,
476,Condo,1974,Electric,No Data,1 space,$241,"$192,900","1221 N Dearborn St APT 401N, Chicago, IL 60610", No, 1, 1, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 63.8% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-401N-Chicago-IL-60610/3858133_zpid/,,800,$454/month,
477,Multi Family,1891,Forced air,Central,6 spaces,$146,"$389,000","1702 N Kedvale Ave, Chicago, IL 60639", No, 6, 3, 3,"Home values in Hermosa have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hermosa will fall 0% () in the next year.This home is valued 55.7% higher () than the median home in Hermosa.The median Zestimate for this neighborhood is $249,786.",https://www.zillow.com/homedetails/1702-N-Kedvale-Ave-Chicago-IL-60639/2125883453_zpid/,,"2,668",,
478,Condo,1940,"Forced air, Gas",Central,No Data,$178,"$159,900","4208 W Leland Ave #2, Chicago, IL 60630", No, 2, 1, 1,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 49.2% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4208-W-Leland-Ave-2-Chicago-IL-60630/61959299_zpid/,,900,$315/mo,
479,Condo,1924,No Data,No Data,No Data,$236,"$425,000","6342 N Sheridan Rd #1F, Chicago, IL 60660", No, 3, 2, 2,"Home values in Edgewater have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgewater will rise 1.3% () in the next year.This home is valued 75.5% higher () than the median home in Edgewater.The median Zestimate for this neighborhood is $242,192.",https://www.zillow.com/homedetails/6342-N-Sheridan-Rd-1F-Chicago-IL-60660/2077661811_zpid/,,"1,800",$890/month,
480,Condo,2007,Forced air,Central,2 spaces,$199,"$329,000","5420 N Kedzie Ave APT 3E, Chicago, IL 60625", No, 3, 2, 2,"Home values in North Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in North Park will rise 2.3% () in the next year.This home is valued 4.8% lower () than the median home in North Park.The median Zestimate for this neighborhood is $345,678.",https://www.zillow.com/homedetails/5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625/80811288_zpid/,,"1,650",$291/month,
481,Condo,1974,"Baseboard, Electric",No Data,1 space,$170,"$169,900","6800 W Raven St UNIT 405, Chicago, IL 60631", No, 2, 1, 1,"Home values in Norwood Park East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Norwood Park East will fall 1.2% () in the next year.This home is valued 49.2% lower () than the median home in Norwood Park East.The median Zestimate for this neighborhood is $334,700.",https://www.zillow.com/homedetails/6800-W-Raven-St-UNIT-405-Chicago-IL-60631/3627483_zpid/,,"1,000",$304/mo,
482,Condo,2020,"Forced air, Gas",Central,1 space,,"$1,049,000","916 W Barry Ave #1, Chicago, IL 60657", Yes, 4, 3, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 94% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/916-W-Barry-Ave-1-Chicago-IL-60657/2077662134_zpid/,,,$299/mo, 1
483,Condo,1910,No Data,No Data,1 space,$250,"$299,900","2952 N Clark St APT 2, Chicago, IL 60657", No, 2, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% () in the next year.This home is valued 5% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2952-N-Clark-St-APT-2-Chicago-IL-60657/3720469_zpid/,,"1,200",$509/mo,
484,Multiple Occupancy,1972,"Forced air, Gas",No Data,2 spaces,$51,"$55,000","1042 W Marquette Rd, Chicago, IL 60621", No, 5, 2, 2,"Home values in Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Englewood will increase 9% () in the next year.This home is valued 12.8% higher () than the median home in Englewood.The median Zestimate for this neighborhood is $48,744.",https://www.zillow.com/homedetails/1042-W-Marquette-Rd-Chicago-IL-60621/3997590_zpid/,,"1,088",,
485,Single Family,1934,Gas,Central,2 spaces,$154,"$419,000","1701 N Newcastle Ave, Chicago, IL 60707", No, 4, 3, 3,"Home values in Galewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Galewood will rise 0.7% () in the next year.This home is valued 55.1% higher () than the median home in Galewood.The median Zestimate for this neighborhood is $270,111.",https://www.zillow.com/homedetails/1701-N-Newcastle-Ave-Chicago-IL-60707/3681886_zpid/,"3,675 sqft","2,718",,
486,Condo,1899,Radiant,Other,1 space,$299,"$299,000","745 W Wellington Ave APT 3, Chicago, IL 60657", No, 2, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 5.2% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/745-W-Wellington-Ave-APT-3-Chicago-IL-60657/3720449_zpid/,,"1,000",$498/month,
487,Condo,2001,Forced air,Central,1 space,$347,"$625,000","3204 N Paulina St #4N, Chicago, IL 60657", No, 3, 2, 2,"Home values in Roscoe Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roscoe Village will rise 0.6% () in the next year.This home is valued 18.7% lower () than the median home in Roscoe Village.The median Zestimate for this neighborhood is $768,333.",https://www.zillow.com/homedetails/3204-N-Paulina-St-4N-Chicago-IL-60657/62009709_zpid/,,"1,800",$354/month,
488,Single Family,1890,"Forced air, Gas",Central,2 spaces,$275,"$549,900","1942 S Desplaines St, Chicago, IL 60616", No, 3, 2, 1,"Home values in 60616 have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Pilsen will increase 1.9% () in the next year.This home is valued 51.4% higher () than the median home in East Pilsen.The median Zestimate for this neighborhood is $363,239.",https://www.zillow.com/homedetails/1942-S-Desplaines-St-Chicago-IL-60616/3876148_zpid/,"2,940 sqft","2,000",, 1
489,Condo,1969,No Data,Central,2 spaces,$131,"$249,000","6833 N Kedzie Ave APT 601, Chicago, IL 60645", No, 3, 2, 2,"Home values in West Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Rogers Park will rise 1.7% () in the next year.This home is valued 18.1% lower () than the median home in West Rogers Park.The median Zestimate for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6833-N-Kedzie-Ave-APT-601-Chicago-IL-60645/3560828_zpid/,,"1,900",$797/month,
490,Multi Family,1910,Forced air,Central,4 spaces,No Data,"$1,250,000","3636 N Racine Ave, Chicago, IL 60613", No, 10, 6, 6,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 131.2% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3636-N-Racine-Ave-Chicago-IL-60613/2101850286_zpid/,,,,
491,Condo,2009,Forced air,Central,1 space,$352,"$375,000","235 W Van Buren St UNIT 3907, Chicago, IL 60607", No, 2, 2, 2,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 1.6% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-3907-Chicago-IL-60607/2094320469_zpid/,,"1,066",$370/mo,
492,Condo,1910,"Forced air, Gas",Central,No Data,,"$295,000","3302 W Dickens Ave APT 2, Chicago, IL 60647", No, 2, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 26.9% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3302-W-Dickens-Ave-APT-2-Chicago-IL-60647/80810348_zpid/,,,$242/mo,
493,Condo,1900,Gas,Central,1 space,$328,"$450,000","1841 W North Ave APT 2, Chicago, IL 60622", No, 3, 2, 2,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 23.2% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1841-W-North-Ave-APT-2-Chicago-IL-60622/2083542652_zpid/,,"1,370",$300/month,
494,Multiple Occupancy,1910,"Forced air, Gas",Central,3 spaces,,"$999,000","845 W Leland Ave, Chicago, IL 60640", No, 7, 6, 6,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 229.2% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/845-W-Leland-Ave-Chicago-IL-60640/2077663600_zpid/,,,,
495,Condo,1968,Forced air,No Data,None,No Data,"$179,900","2600 N Hampden Ct #6C, Chicago, IL 60614", No, 1, 1, 1,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 67.5% lower () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2600-N-Hampden-Ct-6C-Chicago-IL-60614/2079464769_zpid/,,,$228/month,
496,Multiple Occupancy,1888,Electric,No Data,2 spaces,,"$110,000","2709 W Harrison St, Chicago, IL 60612", No, 5, 2, 2,"Home values in 60612 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will rise 1.1% () in the next year.This home is valued 62.6% lower () than the median home in Lawndale.The median Zestimate for this neighborhood is $293,802.",https://www.zillow.com/homedetails/2709-W-Harrison-St-Chicago-IL-60612/2117162988_zpid/,,,,
497,Condo,1968,Forced air,No Data,None,No Data,"$179,900","2600 N Hampden Ct #7C, Chicago, IL 60614", No, 1, 1, 1,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 67.5% lower () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2600-N-Hampden-Ct-7C-Chicago-IL-60614/2077663854_zpid/,,,$233/month,
498,Single Family,1928,Gas,Central,2 spaces,$136,"$299,500","1537 E 84th St, Chicago, IL 60619", No, 5, 2, 2,"Home values in Marynook have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marynook will fall 1.9% () in the next year.This home is valued 96.5% higher () than the median home in Marynook.The median Zestimate for this neighborhood is $152,387.",https://www.zillow.com/homedetails/1537-E-84th-St-Chicago-IL-60619/4021872_zpid/,"3,750 sqft","2,200",,
499,Condo,1911,"Forced air, Gas",Central,1 space,$261,"$300,000","846 W Newport Ave APT 2N, Chicago, IL 60657", No, 2, 1, 1,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 44.5% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/846-W-Newport-Ave-APT-2N-Chicago-IL-60657/80857834_zpid/,,"1,150",$216/mo,
500,Condo,1923,No Data,No Data,No Data,$297,"$890,000","237 E Delaware Pl #2A, Chicago, IL 60611", No, 3, 4, 4,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 91.8% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/237-E-Delaware-Pl-2A-Chicago-IL-60611/2077663963_zpid/,,"3,000","$3,853/mo",
501,Condo,No Data,Forced air,Central,1 space,No Data,"$315,000","2921 N Halsted St APT 2R, Chicago, IL 60657", No, 2, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 0.2% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2921-N-Halsted-St-APT-2R-Chicago-IL-60657/2146469770_zpid/,,,$221/month,
